product,year_range,supplier_group,total_volume
abs_esc,2005-2010,ADVICS,920
abs_esc,2011-2015,Bosch,48934
abs_esc,2011-2015,Continental,23024
abs_esc,2011-2015,ZF,12420
abs_esc,2011-2015,Beijing West Industries,8838
abs_esc,2011-2015,ADVICS,4660
abs_esc,2016-2020,Bosch,573248
abs_esc,2016-2020,Continental,313680
abs_esc,2016-2020,ZF,97246
abs_esc,2016-2020,Beijing West Industries,65533
abs_esc,2016-2020,ADVICS,55690
abs_esc,2021-2025,Bosch,572735
abs_esc,2021-2025,Continental,260600
abs_esc,2021-2025,ADVICS,152736
abs_esc,2021-2025,ZF,79108
abs_esc,2021-2025,"Wuhu Bethel Electronic Control System Co., Ltd.",61777
automated_manual_transmission,2005-2010,Aisin,5463
automated_manual_transmission,2005-2010,Marelli,2111
automated_manual_transmission,2005-2010,BorgWarner,472
automated_manual_transmission,2011-2015,Marelli,11655
automated_manual_transmission,2011-2015,PSA Peugeot Citroen,11358
automated_manual_transmission,2011-2015,ZF,11081
automated_manual_transmission,2011-2015,Aisin,10289
automated_manual_transmission,2011-2015,Ryobi,9030
automated_manual_transmission,2016-2020,Aisin,25944
automated_manual_transmission,2016-2020,ZF,9295
automated_manual_transmission,2016-2020,Hyundai,4230
automated_manual_transmission,2016-2020,Magneti Marelli,4189
automated_manual_transmission,2016-2020,SAIC Motor Group,3954
automated_manual_transmission,2021-2025,Aisin,10557
automated_manual_transmission,2021-2025,Magneti Marelli,8560
automated_manual_transmission,2021-2025,GAC Group,4726
automated_manual_transmission,2021-2025,ZF,1602
automated_manual_transmission,2021-2025,Hyundai,1253
automatic_transmission_(at),2005-2010,Aisin,25165
automatic_transmission_(at),2005-2010,JATCO,9585
automatic_transmission_(at),2005-2010,Stant Corporation,967
automatic_transmission_(at),2005-2010,Valeo,682
automatic_transmission_(at),2005-2010,Metaldyne,279
automatic_transmission_(at),2011-2015,Aisin,84798
automatic_transmission_(at),2011-2015,ZF,76074
automatic_transmission_(at),2011-2015,JATCO,58228
automatic_transmission_(at),2011-2015,Hyundai,33461
automatic_transmission_(at),2011-2015,Honda,18050
automatic_transmission_(at),2016-2020,ZF,116251
automatic_transmission_(at),2016-2020,Aisin,92195
automatic_transmission_(at),2016-2020,JATCO,26977
automatic_transmission_(at),2016-2020,Hyundai,18661
automatic_transmission_(at),2016-2020,FCC,13465
automatic_transmission_(at),2021-2025,ZF,99299
automatic_transmission_(at),2021-2025,Aisin,60458
automatic_transmission_(at),2021-2025,Ningbo Shenglong Group,25906
automatic_transmission_(at),2021-2025,Hyundai,24898
automatic_transmission_(at),2021-2025,JATCO,19037
camshaft,2005-2010,Kautex,8428
camshaft,2005-2010,MAHLE,6157
camshaft,2005-2010,thyssenKrupp,5522
camshaft,2005-2010,thyssenkrupp,4180
camshaft,2005-2010,Metal Powder Products LLC,2830
camshaft,2011-2015,Riken,59852
camshaft,2011-2015,Toyota,38729
camshaft,2011-2015,Daihatsu,30639
camshaft,2011-2015,thyssenKrupp,30056
camshaft,2011-2015,MAHLE,23654
camshaft,2016-2020,Otics,54099
camshaft,2016-2020,"Thai NOK Co., Ltd.",39791
camshaft,2016-2020,MAHLE,26068
camshaft,2016-2020,Chengdu Xiling Power Science & Technology Incorporated Company,17724
camshaft,2016-2020,thyssenKrupp,17628
camshaft,2021-2025,Otics,75585
camshaft,2021-2025,PCL,43882
camshaft,2021-2025,Daihatsu,29962
camshaft,2021-2025,"Thai NOK Co., Ltd.",13659
camshaft,2021-2025,Riken,13289
catalytic_converter,2011-2015,Faurecia,18096
catalytic_converter,2011-2015,Forvia,11154
catalytic_converter,2011-2015,Sango,7447
catalytic_converter,2011-2015,Ebersp?cher Gruppe GmbH & Co. KG,6980
catalytic_converter,2011-2015,Tenneco,6616
catalytic_converter,2016-2020,Faurecia,217945
catalytic_converter,2016-2020,Ebersp?cher Gruppe GmbH & Co. KG,106323
catalytic_converter,2016-2020,Tenneco,73259
catalytic_converter,2016-2020,Forvia,72857
catalytic_converter,2016-2020,Friedrich Boysen GmbH & Co. KG,72441
catalytic_converter,2021-2025,Faurecia,44222
catalytic_converter,2021-2025,Yutaka,39423
catalytic_converter,2021-2025,Sango,35628
catalytic_converter,2021-2025,Futaba,34101
catalytic_converter,2021-2025,Friedrich Boysen GmbH & Co. KG,28003
chassis_frame,2005-2010,ADAC,902
chassis_frame,2005-2010,Howmet Aerospace Inc.,638
chassis_frame,2005-2010,Martinrea,596
chassis_frame,2005-2010,Gestamp,400
chassis_frame,2011-2015,H-ONE,34161
chassis_frame,2011-2015,KEYLEX Corporation,11808
chassis_frame,2011-2015,"Fukai MFG Co., Ltd.",10421
chassis_frame,2011-2015,Gestamp,6484
chassis_frame,2011-2015,"Huada Automotive Technology Co., Ltd.",5429
chassis_frame,2016-2020,H-ONE,47073
chassis_frame,2016-2020,ZF,23780
chassis_frame,2016-2020,G-TEKT,20637
chassis_frame,2016-2020,Hyundai,14042
chassis_frame,2016-2020,Thai Summit Group,9488
