maker,year_range,supplier_group,product,trade_year_cnt,total_volume
Abarth,2011-2015,Koni BV,shock_absorber,1,1151
Abarth,2016-2020,Aisin,automatic_transmission_(at),2,922
Abarth,2016-2020,Futaba,chassis_frame,1,559
Abarth,2021-2025,Koni BV,shock_absorber,2,5272
Aiways,2016-2020,Bosch,abs_esc,1,105
Aiways,2021-2025,Bosch,abs_esc,2,2012
Aiways,2021-2025,"GF Casting Solutions Kunshan Co., Ltd.",chassis_frame,2,1143
Alexander Dennis,2021-2025,Allison Transmission,automatic_transmission_(at),1,982
Alexander Dennis,2021-2025,Voith GmbH & Co. KGaA,automatic_transmission_(at),1,2251
Alexander Dennis,2021-2025,Volvo,automated_manual_transmission,1,1136
Alexander Dennis,2021-2025,ZF,automatic_transmission_(at),1,574
Alfa Romeo,2005-2010,Federal-Mogul,disc_brake_(pad),1,696
Alfa Romeo,2005-2010,FPT Industrial S.p.A.,manual_transmission,1,865
Alfa Romeo,2005-2010,ITT,disc_brake_(pad),2,325
Alfa Romeo,2005-2010,Magna,water_pump,1,796
Alfa Romeo,2005-2010,MAHLE,piston,1,448
Alfa Romeo,2005-2010,Marelli,exhaust_manifold,1,251
Alfa Romeo,2005-2010,Neumayer Tekfor GmbH,transmission_shaft,1,547
Alfa Romeo,2005-2010,thyssenKrupp,crankshaft,1,896
Alfa Romeo,2005-2010,Valeo,automatic_transmission_(at),1,682
Alfa Romeo,2011-2015,"Autokiniton Global Group, LP (Formerly Tower International, Inc.)",crossmember,1,886
Alfa Romeo,2011-2015,Bosch,fuel_injection,1,1234
Alfa Romeo,2011-2015,Bosch,fuel_pump,1,1593
Alfa Romeo,2011-2015,Bosch,starter_motor,1,1298
Alfa Romeo,2011-2015,Federal-Mogul,disc_brake_(pad),1,884
Alfa Romeo,2011-2015,Federal-Mogul,piston,1,591
Alfa Romeo,2011-2015,Forvia,exhaust_manifold,2,998
Alfa Romeo,2011-2015,Hirschvogel,transmission_shaft,1,579
Alfa Romeo,2011-2015,Industrie Saleri Italo S.p.A.,water_pump,1,414
Alfa Romeo,2011-2015,ITT,disc_brake_(pad),1,454
Alfa Romeo,2011-2015,Magna,manual_transmission,1,720
Alfa Romeo,2011-2015,Magna,oil_pump,2,696
Alfa Romeo,2011-2015,Magna,water_pump,2,1175
Alfa Romeo,2011-2015,MAHLE,piston,1,616
Alfa Romeo,2011-2015,Marelli,crossmember,1,967
Alfa Romeo,2011-2015,Marelli,fuel_injection,2,1570
Alfa Romeo,2011-2015,Pierburg,oil_pump,2,1517
Alfa Romeo,2011-2015,PMG,camshaft,1,434
Alfa Romeo,2011-2015,Rheinmetall,piston,1,228
Alfa Romeo,2011-2015,Rheinmetall,water_pump,1,822
Alfa Romeo,2011-2015,Schaeffler,clutch,1,604
Alfa Romeo,2011-2015,Valeo,clutch,1,468
Alfa Romeo,2011-2015,Valeo,starter_motor,1,446
Alfa Romeo,2011-2015,ZF,automatic_transmission_(at),1,667
Alfa Romeo,2011-2015,ZF,clutch,1,676
Alfa Romeo,2011-2015,ZF,manual_transmission,1,225
Alfa Romeo,2011-2015,ZF,shock_absorber,1,967
Alfa Romeo,2011-2015,ZF,steering_gear,1,471
Alfa Romeo,2011-2015,ZF,torque_converter,1,352
Alfa Romeo,2016-2020,Bosch,starter_motor,1,521
Alfa Romeo,2016-2020,Brembo,disc_brake_(pad),1,731
Alfa Romeo,2016-2020,Federal-Mogul,disc_brake_(pad),1,134
Alfa Romeo,2016-2020,Federal-Mogul,piston,1,840
Alfa Romeo,2016-2020,Forvia,catalytic_converter,2,1134
Alfa Romeo,2016-2020,Magna,water_pump,2,1411
Alfa Romeo,2016-2020,MAHLE,piston,1,788
Alfa Romeo,2016-2020,Marelli,shock_absorber,1,702
Alfa Romeo,2016-2020,Nemak,cylinder_block,1,773
Alfa Romeo,2016-2020,PMG,camshaft,1,308
Alfa Romeo,2016-2020,SKF,transmission_shaft,2,1826
Alfa Romeo,2016-2020,ZF,automatic_transmission_(at),3,2103
Alfa Romeo,2021-2025,Bosch,starter_motor,1,1232
Alfa Romeo,2021-2025,Bosch,steering_gear,1,528
Alfa Romeo,2021-2025,Federal-Mogul,disc_brake_(pad),2,1554
Alfa Romeo,2021-2025,Magna,water_pump,1,286
Alfa Romeo,2021-2025,Marelli,shock_absorber,1,111
Alfa Romeo,2021-2025,Mubea,stablizer,2,715
Alfa Romeo,2021-2025,SEGA,starter_motor,5,2269
Alfa Romeo,2021-2025,Stabilus GmbH,shock_absorber,3,1666
Alfa Romeo,2021-2025,ZF,automatic_transmission_(at),1,1426
Alfa Romeo,2021-2025,ZF,shock_absorber,10,8571
Alpina,2011-2015,ZF,automatic_transmission_(at),2,1594
Alpina,2016-2020,ZF,automated_manual_transmission,1,549
Alpina,2016-2020,ZF,automatic_transmission_(at),4,5506
Alpina,2021-2025,Continental,abs_esc,2,1351
Alpina,2021-2025,ZF,automatic_transmission_(at),2,7975
ARCFOX,2016-2020,"Beijing Asia-Pacific Automobile Chassis System Co., Ltd.",abs_esc,1,405
ARCFOX,2021-2025,Bosch,abs_esc,3,3169
ARCFOX,2021-2025,Continental,abs_esc,2,4043
ARCFOX,2021-2025,Delphi,disc_brake_(pad),1,2209
ARCFOX,2021-2025,SAIC Motor Group,abs_esc,1,462
Arrinera,2016-2020,Bosch,abs_esc,1,432
Arrinera,2016-2020,Hewland Engineering Ltd.,manual_transmission,1,781
Arrinera,2016-2020,Oehlins Racing AB,shock_absorber,1,633
Ashok Leyland,2021-2025,Jaya Hind Industries ltd.,manual_transmission,1,693
Aston Martin,2005-2010,BorgWarner,torque_converter,1,556
Aston Martin,2005-2010,Garrett Motion,disc_brake_(pad),1,674
Aston Martin,2011-2015,Bosch,power_steering_pump,1,457
Aston Martin,2011-2015,Brembo,disc_brake_(pad),1,384
Aston Martin,2011-2015,Dana Graziano S.R.L. (Formerly Oerlikon Graziano S.p.A.),automated_manual_transmission,1,2506
Aston Martin,2011-2015,MAHLE,cylinder_block,2,1111
Aston Martin,2011-2015,Multimatic,shock_absorber,1,620
Aston Martin,2011-2015,thyssenKrupp,camshaft,1,465
Aston Martin,2011-2015,Winkelmann Powertrain Components GmbH & Co. KG,fuel_injection,1,925
Aston Martin,2011-2015,Xtrac Ltd,automated_manual_transmission,1,908
Aston Martin,2011-2015,Xtrac Ltd,manual_transmission,1,203
Aston Martin,2011-2015,ZF,automatic_transmission_(at),1,271
Aston Martin,2011-2015,ZF,torque_converter,1,1327
Aston Martin,2016-2020,Aston Martin Engine Plant,catalytic_converter,1,622
Aston Martin,2016-2020,Friedrich Boysen GmbH & Co. KG,catalytic_converter,1,383
Aston Martin,2016-2020,Johnson Matthey,catalytic_converter,2,1178
Aston Martin,2016-2020,MHG Fahrzeugtechnik GmbH,catalytic_converter,1,710
Aston Martin,2016-2020,Multimatic,shock_absorber,1,306
Aston Martin,2016-2020,thyssenkrupp,shock_absorber,1,769
