product,year_range,supplier_group,total_volume
abs_esc,2005-2010,ADVICS,920
abs_esc,2011-2015,ADVICS,4660
abs_esc,2011-2015,Aisin,440
abs_esc,2011-2015,"Beijing Asia-Pacific Automobile Chassis System Co., Ltd.",1276
abs_esc,2011-2015,Beijing West Industries,8838
abs_esc,2011-2015,BMW,172
abs_esc,2011-2015,Bosch,48934
abs_esc,2011-2015,Continental,23024
abs_esc,2011-2015,Denso,861
abs_esc,2011-2015,Hitachi,4650
abs_esc,2011-2015,HL Mando,2926
abs_esc,2011-2015,Hyundai,508
abs_esc,2011-2015,"Lucas Varity Langzhong Brake Co., Ltd. (LVLB)",184
abs_esc,2011-2015,SAIC Motor Group,188
abs_esc,2011-2015,Toyota,756
abs_esc,2011-2015,"Veoneer (China) Co., Ltd. (Formerly Autoliv (China) Electronics Co., Ltd.)",517
abs_esc,2011-2015,"Wanxiang Precision Industry Jiangsu Co., Ltd.",641
abs_esc,2011-2015,"Wuxi MOBIS Automotive Parts Co., Ltd. (MWX)",1155
abs_esc,2011-2015,ZF,12420
abs_esc,2011-2015,"Zhejiang Asia-Pacific Mechanical & Electronic Co., Ltd.",4576
abs_esc,2011-2015,"Zhejiang Wanxiang Precision Industry Co., Ltd. (Formerly Zhejiang Wanxiang Automobile Bearing Co., Ltd.)",453
abs_esc,2016-2020,ADVICS,55690
abs_esc,2016-2020,Aisin,9967
abs_esc,2016-2020,"Autoliv ASP, Inc. - Auburn Hills Technical Center",378
abs_esc,2016-2020,BAIC,972
abs_esc,2016-2020,"Beijing Asia-Pacific Automobile Chassis System Co., Ltd.",405
abs_esc,2016-2020,Beijing West Industries,65533
abs_esc,2016-2020,Benz,812
abs_esc,2016-2020,"Bethel Automotive Safety Systems Co., Ltd.",4344
abs_esc,2016-2020,BMTS Technology GmbH & Co. KG (Formerly Bosch MAHLE Turbo Systems GmbH & Co. KG),1438
abs_esc,2016-2020,BMW,419
abs_esc,2016-2020,Bosch,573248
abs_esc,2016-2020,"Changchun Fawer-IHI Turbo Co., Ltd.",478
abs_esc,2016-2020,Continental,313680
abs_esc,2016-2020,Denso,7589
