region,maker,supply_year,supplier_group,product,yearly_volume
Americas,Alpina,2020,ZF,automatic_transmission_(at),446
Americas,Alpina,2022,ZF,automatic_transmission_(at),1703
Americas,Alpina,2023,Continental,abs_esc,598
Americas,Alpina,2024,Continental,abs_esc,753
Americas,Audi,2014,KYB,shock_absorber,443
Americas,Audi,2016,Hirschvogel,transmission_shaft,747
Americas,Audi,2016,Nemak,chassis_frame,805
Americas,Audi,2016,Rheinmetall,cylinder_block,492
Americas,Audi,2016,Rheinmetall,water_pump,439
Americas,Audi,2016,ZF,chassis_frame,892
Americas,Audi,2016,ZF,torque_converter,287
Americas,Audi,2018,ZF,automatic_transmission_(at),175
Americas,Audi,2020,Bosch,starter_motor,550
Americas,Audi,2020,Denso,starter_motor,919
Americas,Audi,2021,Bosch,starter_motor,663
Americas,Audi,2021,Denso,starter_motor,336
Americas,Audi,2021,Forvia,catalytic_converter,528
Americas,Audi,2021,ZF,shock_absorber,133
Americas,Audi,2022,Denso,starter_motor,382
Americas,Audi,2022,ZF,shock_absorber,786
Americas,Audi,2023,Denso,starter_motor,952
Americas,Audi,2023,ZF,shock_absorber,228
Americas,Audi,2024,Rongtai Industrial Development Le?n S. de R.L. de C.V.,steering_gear,688
Americas,Audi,2024,ZF,shock_absorber,375
Americas,Audi,2025,Rongtai Industrial Development Le?n S. de R.L. de C.V.,steering_gear,720
Americas,BMW,2008,Garrett Motion,disc_brake_(pad),951
Americas,BMW,2008,Huf Huelsbeck & Fuerst GmbH & Co. KG,starter_motor,941
Americas,BMW,2008,MAHLE,camshaft,654
Americas,BMW,2008,MAHLE,piston,700
Americas,BMW,2008,thyssenkrupp,crankshaft,296
Americas,BMW,2008,thyssenkrupp,stablizer,369
Americas,BMW,2008,ZF,torque_converter,556
Americas,BMW,2009,ITT,disc_brake_(pad),374
Americas,BMW,2010,Federal-Mogul,piston,661
Americas,BMW,2010,Gestamp,chassis_frame,400
Americas,BMW,2010,Hirschvogel,crankshaft,191
Americas,BMW,2010,Oerlikon Friction Systems (Germany) GmbH,torque_converter,572
Americas,BMW,2010,ZF,stablizer,1367
Americas,BMW,2011,BorgWarner,oil_pump,708
Americas,BMW,2011,Bosch,fuel_pump,380
Americas,BMW,2011,Bosch,power_steering_pump,1990
Americas,BMW,2011,Bosch,starter_motor,701
Americas,BMW,2011,Bosch,steering_gear,2470
Americas,BMW,2011,Continental,crankshaft,258
Americas,BMW,2011,Continental,fuel_injection,839
Americas,BMW,2011,Continental,water_pump,601
Americas,BMW,2011,Denso,fuel_injection,821
Americas,BMW,2011,Freudenberg Sealing Technologies,camshaft,559
Americas,BMW,2011,Georg Fischer AG,exhaust_manifold,349
Americas,BMW,2011,Magna,power_steering_pump,1394
Americas,BMW,2011,MAHLE,camshaft,101
Americas,BMW,2011,MAHLE,piston,855
Americas,BMW,2011,Rheinmetall,water_pump,670
Americas,BMW,2011,Schaeffler,clutch,480
Americas,BMW,2011,thyssenKrupp,crankshaft,338
Americas,BMW,2011,TI,fuel_pump,139
Americas,BMW,2011,TMD Friction Holdings GmbH,disc_brake_(pad),981
Americas,BMW,2011,ZF,automatic_transmission_(at),1111
Americas,BMW,2011,ZF,manual_transmission,900
Americas,BMW,2012,Pierburg,water_pump,1397
Americas,BMW,2012,ZF,automatic_transmission_(at),914
Americas,BMW,2012,ZF,torque_converter,1565
Americas,BMW,2013,BorgWarner,oil_pump,139
Americas,BMW,2013,Magna,oil_pump,645
Americas,BMW,2013,Magna,water_pump,777
Americas,BMW,2013,MAHLE,piston,477
Americas,BMW,2013,Wescast,exhaust_manifold,388
Americas,BMW,2013,ZF,automatic_transmission_(at),1698
Americas,BMW,2013,ZF,stablizer,248
Americas,BMW,2013,ZF,torque_converter,350
Americas,BMW,2014,FEMALK Zrt. - Dunavars?ny Plant,crossmember,924
Americas,BMW,2014,Forvia,exhaust_manifold,1471
Americas,BMW,2014,Friedrich Boysen GmbH & Co. KG,exhaust_manifold,2001
Americas,BMW,2014,FTE,clutch,1155
Americas,BMW,2014,Gestamp,chassis_frame,244
Americas,BMW,2014,Hirschvogel,crankshaft,738
Americas,BMW,2014,ITT,disc_brake_(pad),520
Americas,BMW,2014,MAHLE,camshaft,827
Americas,BMW,2014,MAHLE,piston,1777
Americas,BMW,2014,MAHLE,water_pump,461
Americas,BMW,2014,thyssenkrupp,camshaft,714
Americas,BMW,2014,thyssenkrupp,crankshaft,1807
Americas,BMW,2014,thyssenkrupp,stablizer,1157
Americas,BMW,2014,thyssenKrupp,camshaft,112
Americas,BMW,2014,thyssenKrupp,crankshaft,849
Americas,BMW,2014,thyssenKrupp,stablizer,772
Americas,BMW,2014,Wescast,exhaust_manifold,256
Americas,BMW,2014,Winkelmann Powertrain Components GmbH & Co. KG,fuel_injection,213
Americas,BMW,2014,ZF,automatic_transmission_(at),462
Americas,BMW,2014,ZF,torque_converter,1016
Americas,BMW,2015,Bosch,fuel_injection,797
Americas,BMW,2015,Federal-Mogul,piston,676
Americas,BMW,2015,Forvia,catalytic_converter,1044
Americas,BMW,2015,ZF,automatic_transmission_(at),791
Americas,BMW,2015,ZF,shock_absorber,524
Americas,BMW,2016,Forvia,catalytic_converter,980
Americas,BMW,2016,Friedrich Boysen GmbH & Co. KG,catalytic_converter,954
Americas,BMW,2016,Tenneco,shock_absorber,511
Americas,BMW,2017,Federal-Mogul,disc_brake_(pad),270
Americas,BMW,2017,Federal-Mogul,piston,591
Americas,BMW,2017,Forvia,catalytic_converter,1498
Americas,BMW,2017,Freudenberg Sealing Technologies,crankshaft,197
Americas,BMW,2017,Freudenberg Sealing Technologies,stablizer,779
Americas,BMW,2017,FTE,clutch,292
Americas,BMW,2017,Hirschvogel,crankshaft,321
Americas,BMW,2017,Linamar,camshaft,370
Americas,BMW,2017,Nemak,cylinder_block,643
Americas,BMW,2017,Sensata,oil_pump,649
Americas,BMW,2017,thyssenKrupp,camshaft,894
Americas,BMW,2017,Vibracoustic,shock_absorber,855
Americas,BMW,2017,ZF,abs_esc,892
Americas,BMW,2017,ZF,automatic_transmission_(at),148
Americas,BMW,2018,Forvia,catalytic_converter,2101
Americas,BMW,2018,Pierburg,water_pump,147
Americas,BMW,2018,Tenneco,shock_absorber,991
Americas,BMW,2018,ZF,automatic_transmission_(at),671
Americas,BMW,2019,BorgWarner,exhaust_manifold,634
Americas,BMW,2019,Bosch,fuel_injection,1942
Americas,BMW,2019,Bosch,fuel_pump,1060
Americas,BMW,2019,Bosch,water_pump,1922
Americas,BMW,2019,Federal-Mogul,piston,946
Americas,BMW,2019,Forvia,catalytic_converter,560
Americas,BMW,2019,Forvia,exhaust_manifold,743
Americas,BMW,2019,Freudenberg Sealing Technologies,crankshaft,977
Americas,BMW,2019,Freudenberg Sealing Technologies,transmission_shaft,512
Americas,BMW,2019,Friedrich Boysen GmbH & Co. KG,catalytic_converter,3101
Americas,BMW,2019,JTEKT,steering_gear,1658
Americas,BMW,2019,MAHLE,oil_pump,442
Americas,BMW,2019,MAHLE,piston,907
Americas,BMW,2019,PMG,shock_absorber,281
Americas,BMW,2019,thyssenKrupp,camshaft,924
Americas,BMW,2019,Vibracoustic,shock_absorber,204
Americas,BMW,2019,Walor North America Inc. (Formerly Hirschvogel Inc.),crankshaft,576
Americas,BMW,2019,ZF,automatic_transmission_(at),1473
Americas,BMW,2019,ZF,chassis_frame,914
Americas,BMW,2019,ZF,shock_absorber,853
Americas,BMW,2019,ZF,torque_converter,572
Americas,BMW,2020,BorgWarner,exhaust_manifold,1668
Americas,BMW,2020,Bosch,fuel_injection,1749
Americas,BMW,2020,Bosch,water_pump,1010
Americas,BMW,2020,Forvia,catalytic_converter,893
Americas,BMW,2020,Hirotec,chassis_frame,595
Americas,BMW,2020,JTEKT,steering_gear,1514
Americas,BMW,2020,thyssenkrupp,steering_gear,1411
Americas,BMW,2020,ZF,automatic_transmission_(at),775
Americas,BMW,2021,Bosch,water_pump,434
Americas,BMW,2021,Continental,abs_esc,2820
Americas,BMW,2021,Forvia,catalytic_converter,1752
