Region,Maker,Model,Model year,Supplier
China,BAIC Foton,Foton View i9 (China),2025,"Wuhan Youfin Auto Electronic Control System Co., Ltd."
China,BYD,Fangchengbao Bao 8 (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Fangchengbao Bao 8 (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Han L DM-i (FF) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Han L DM-i (FF) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Han L DM-i (FF) (China),2025,"FinDreams Powertrain Co., Ltd."
China,BYD,Han L EV (4WD) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Han L EV (4WD) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Han L EV (4WD) (China),2025,"FinDreams Powertrain Co., Ltd."
China,BYD,Han L EV (RR) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Han L EV (RR) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Han L EV (RR) (China),2025,"FinDreams Powertrain Co., Ltd."
China,BYD,Qin L EV (RR) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Qin L EV (RR) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Qin L EV (RR) (China),2025,"FinDreams Powertrain Co., Ltd."
China,BYD,Fangchengbao Tai 3 (4WD) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Fangchengbao Tai 3 (4WD) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Fangchengbao Tai 3 (4WD) (China),2025,"FinDreams Powertrain Co., Ltd."
China,BYD,Tang L DM-i (FF) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Tang L DM-i (FF) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Tang L DM-i (FF) (China),2025,"FinDreams Powertrain Co., Ltd."
China,BYD,Tang L DM-p (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Tang L DM-p (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,BYD,Tang L DM-p (China),2025,"FinDreams Powertrain Co., Ltd."
China,Changan,Eado PHEV (China),2025,"Continental Automotive Systems (Shanghai) Co., Ltd."
China,Changan,Eado PHEV (China),2025,"Continental Automotive Systems (Shanghai) Co., Ltd."
China,Changan,Eado PHEV (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,Changan,Eado PHEV (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,Chery,Fulwin A8L C-DM (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,Chery,Fulwin A8L C-DM (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,Chery,Jetour Shanhai T1 C-DM (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,Chery,Jetour Shanhai T1 C-DM (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,Chery,Tiggo 7 C-DM (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,Chery,Tiggo 7 C-DM (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,Chery,iCAR V23 (4WD) (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,Chery,iCAR V23 (4WD) (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,Chery,iCAR V23 (RR) (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,Chery,iCAR V23 (RR) (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,Dongfeng Nissan,Nissan N7 (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,GAC Aion,Hyper HL (4WD) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,GAC Aion,Hyper HL (4WD) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,GAC Aion,Hyper HL (RR) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,GAC Aion,Hyper HL (RR) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,GAC Aion,Aion V Plus (FF) (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,GAC Aion,Aion V Plus (FF) (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,GAC Aion,Aion Y Plus (FF) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,GAC Aion,Aion Y Plus (FF) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,GAC Aion,Aion Y Plus (FF) (China),2025,"NASN Automotive Electronics Co., Ltd."
China,GAC Aion,Aion Y Plus (FF) (China),2025,"NASN Automotive Electronics Co., Ltd."
China,GAC Aion,Aion Y Plus (FF) (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,GAC Aion,Aion Y Plus (FF) (China),2025,"Wuhu Bethel Electronic Control System Co., Ltd."
China,GAC Honda,Honda Ye P7 (4WD) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,GAC Motor,Trumpchi GS4 PLUS (FF) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,GAC Toyota,Toyota bZ3X (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,GAC Toyota,Toyota bZ3X (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,Geely,Zeekr 007GT (4WD) (China),2025,"Bosch Automotive Products (Suzhou) Co., Ltd."
