Region,Maker,Model,Model year,Supplier
Europe,Alexander Dennis,Plaxton Leopard (UK),2024,"Volvo Group Trucks Operations, Powertrain, K?ping Plant"
Europe,Alexander Dennis,Plaxton Panther (UK),2024,"Volvo Group Trucks Operations, Powertrain, K?ping Plant"
China,Dongfeng Peugeot Citroen,Peugeot 4008 (FF) (China),2023,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,Dongfeng Peugeot Citroen,Peugeot 4008 (FF) (China),2023,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,Dongfeng Peugeot Citroen,Peugeot 4008 PHEV (China),2023,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,Dongfeng Peugeot Citroen,Peugeot 5008 (FF) (China),2023,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,Dongfeng Peugeot Citroen,Peugeot 508L (FF) (China),2023,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
China,Dongfeng Peugeot Citroen,Peugeot 508L (FF) (China),2023,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,Dongfeng Peugeot Citroen,Peugeot 508L PHEV (China),2023,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,FAW Bestune,Bestune M9 (FF) (China),2023,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,Great Wall,Haval H9 (4WD) (China),2023,"ZF Transmissions Shanghai Co., Ltd."
China,Dongfeng Peugeot Citroen,Peugeot 4008 (FF) (China),2022,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,Dongfeng Peugeot Citroen,Peugeot 4008 PHEV (China),2022,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,Dongfeng Peugeot Citroen,Peugeot 5008 (FF) (China),2022,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,Dongfeng Peugeot Citroen,Peugeot 508L (FF) (China),2022,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
China,Dongfeng Peugeot Citroen,Peugeot 508L (FF) (China),2022,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,Dongfeng Peugeot Citroen,Peugeot 508L PHEV (China),2022,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
China,GAC Motor,Trumpchi GA6 (FF) (China),2022,"GAC Aisin Automatic Transmission Co., Ltd."
China,Great Wall,Haval H9 (4WD) (China),2022,"ZF Transmissions Shanghai Co., Ltd."
ASEAN?India?Korea,Hyundai,Pavise (Korea),2022,ZF Friedrichshafen AG
ASEAN?India?Korea,Hyundai,Xcient (Korea),2022,ZF Friedrichshafen AG
ASEAN?India?Korea,Kia,Morning (Korea),2022,"Hyundai Transys Inc. - Jigok Plant (Formerly Hyundai Powertech Co., Ltd.)"
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV300 (India),2022,Magneti Marelli Powertrain India Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Alto (India),2022,Magneti Marelli Powertrain India Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Baleno (India),2022,Magneti Marelli Powertrain India Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Ignis (India),2022,Magneti Marelli Powertrain India Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Vitara Brezza (India),2022,Magneti Marelli Powertrain India Pvt. Ltd.
China,Soueast,DX7 Prime (FF) (China),2022,"Hyundai Transys Inc. - Seongyeon Plant (Formerly Hyundai Dymos, Inc.)"
ASEAN?India?Korea,Tata,Tiago (India),2022,Magneti Marelli Powertrain India Pvt. Ltd.
ASEAN?India?Korea,Tata,TIGOR (India),2022,Magneti Marelli Powertrain India Pvt. Ltd.
China,Dongfeng Passenger Vehicle,Aeolus AX7 (FF) (China),2021,"Aisin Suzhou Co., Ltd. (Formerly AW Suzhou Co., Ltd.)"
China,Dongfeng Peugeot Citroen,Peugeot 508L (FF) (China),2021,"Aisin Suzhou Co., Ltd. (Formerly AW Suzhou Co., Ltd.)"
China,GAC Motor,Trumpchi GA6 (FF) (China),2021,"GAC Aisin Automatic Transmission Co., Ltd."
China,GAC Motor,Trumpchi GA8 (FF) (China),2021,"GAC Aisin Automatic Transmission Co., Ltd."
China,GAC Motor,Trumpchi GS3 POWER (FF) (China),2021,"GAC Aisin Automatic Transmission Co., Ltd."
China,GAC Motor,Trumpchi GS4 (FF) (China),2021,"Aisin Suzhou Co., Ltd. (Formerly AW Suzhou Co., Ltd.)"
China,GAC Motor,Trumpchi GS4 (FF) (China),2021,"GAC Aisin Automatic Transmission Co., Ltd."
