Region,Maker,Model,Model year,Supplier
Europe,Aston Martin,Vantage (UK),2025,ZF Friedrichshafen AG
Europe,Audi,A6 e-tron (Germany),2025,Foma S.p.A.
Europe,Audi,Q6 e-tron (Germany),2025,Foma S.p.A.
Americas,Nissan,Frontier (USA),2025,Magna International Inc.
Europe,Porsche,Macan 4 Electric (Germany),2025,Foma S.p.A.
Europe,SEAT,CUPRA Terramar (Hungary),2025,Rollax GmbH & Co. KG
Japan,Subaru,Forester,2025,Schaeffler AG
Europe,Alexander Dennis,Enviro200 (UK),2024,Voith GmbH & Co. KGaA
Europe,Alexander Dennis,Enviro400 (UK),2024,Voith GmbH & Co. KGaA
Europe,Alexander Dennis,Enviro500 (UK),2024,Voith GmbH & Co. KGaA
Europe,Alexander Dennis,Enviro500 SuperLo (UK),2024,Allison Transmission Europe B.V.
Europe,Aston Martin,DBS 770 Ultimate (UK),2024,ZF Friedrichshafen AG
Europe,Aston Martin,Vanquish (UK),2024,ZF Friedrichshafen AG
China,BAW,BJ212 (4WD) (China),2024,"Harbin Dongan Auto Engine Co., Ltd."
China,BAW,Calorie (FR) (China),2024,"Harbin Dongan Auto Engine Co., Ltd."
China,BAW,Wangpai M7 (China),2024,"Harbin Dongan Auto Engine Co., Ltd."
Americas,Ford,Mustang (USA),2024,Tremec Corporation
China,Geely,Monjaro (Xingyue L) (China),2024,"Aisin (China) Investment Co., Ltd."
Americas,GM,Chevrolet Silverado 2500 (USA),2024,Allison Transmission Inc.
Americas,GM,Chevrolet Silverado 3500 (USA),2024,Allison Transmission Inc.
China,Haima,8S (China),2024,"Harbin Dongan Auto Engine Co., Ltd."
Americas,Honda,Ridgeline (USA),2024,"ZF Transmissions Gray Court, LLC"
ASEAN?India?Korea,Hyundai,Mighty (Korea),2024,Allison Transmission Inc.
Europe,INEOS,Grenadier (France),2024,ZF Friedrichshafen AG
Europe,INEOS,Grenadier Quartermaster (France),2024,ZF Friedrichshafen AG
Japan,Isuzu,Como,2024,JATCO Ltd.
Europe,Iveco,Crossway Low Entry (Czech Republic),2024,Voith GmbH & Co. KGaA
China,JAC,T8 PRO (China),2024,"Harbin Dongan Auto Engine Co., Ltd."
China,JAC,T9 Hunter (for exportation) (China),2024,"ZF Transmissions Shanghai Co., Ltd."
Americas,Jeep,Wrangler (USA),2024,ZF Friedrichshafen AG
China,Jiangling Motors,Ford Bronco (4WD) (China),2024,"BorgWarner PowerDrive systems (Suzhou) Co., Ltd. (Formerly Delphi Technologies (Suzhou) Co., Ltd.)"
ASEAN?India?Korea,Jiangling Motors,JMC Vigus Pro (Malaysia),2024,ZF Friedrichshafen AG
ASEAN?India?Korea,KG Mobility,Actyon (Korea),2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Scorpio-N (India),2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Thar (India),2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Thar ROXX (India),2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV 3XO (India),2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV700 (India),2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
ASEAN?India?Korea,Maruti Suzuki,Fronx (India),2024,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.)
ASEAN?India?Korea,Maruti Suzuki,Wagon R (India),2024,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.)
Japan,Nissan,Caravan Van,2024,JATCO Ltd.
Americas,Nissan,Pathfinder (USA),2024,ZF Friedrichshafen AG
China,SAIC GM,Buick GL8 PHEV (FF) (China),2024,"BorgWarner United Transmission Systems Co., Ltd."
Europe,SEAT,CUPRA Terramar (Hungary),2024,Rollax GmbH & Co. KG
Japan,Suzuki,XBEE,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Crown Crossover RS,2024,BluE Nexus Corporation
Japan,Toyota,Crown Sedan,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Land Cruiser 1958,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Land Cruiser 300,2024,"Keihin Seimitsu Kogyo Co., Ltd."
Japan,Toyota,Land Cruiser 300,2024,"Keihin Seimitsu Kogyo Co., Ltd."
Japan,Toyota,Lexus LC500h,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Lexus LX500d,2024,"Keihin Seimitsu Kogyo Co., Ltd."
Japan,Toyota,Lexus LX500d,2024,"Keihin Seimitsu Kogyo Co., Ltd."
Japan,Toyota,Lexus LX600,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Lexus LX600,2024,"Keihin Seimitsu Kogyo Co., Ltd."
Japan,Toyota,Lexus LX600,2024,"Keihin Seimitsu Kogyo Co., Ltd."
Americas,Toyota,Sequoia (USA),2024,Aisin World Corp. of America Inc.
Americas,Toyota,Tacoma (Mexico),2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Americas,Toyota,Tundra (USA),2024,Aisin World Corp. of America Inc.
Americas,Toyota,Tundra i-FORCE MAX (USA),2024,Aisin World Corp. of America Inc.
ASEAN?India?Korea,Toyota,Urban Cruiser Taisor (India),2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
China,Volvo Cars Asia Pacific,Volvo S90 RECHARGE T8 PHEV (4WD) (China),2024,"Aisin (China) Investment Co., Ltd."
Europe,Wrightbus,StreetDeck Ultroliner EU6 (Ireland),2024,Voith GmbH & Co. KGaA
Europe,Alexander Dennis,Plaxton Leopard (UK),2023,ZF Friedrichshafen AG
Europe,Audi,e-tron GT (Germany),2023,Standard-Metallwerke GmbH
China,BAIC ORV,Beijing BJ60 (4WD) (China),2023,"ZF Powertrain System (Beijing) Co., Ltd."
China,BAW,Calorie (FR) (China),2023,"Harbin Dongan Auto Engine Co., Ltd."
China,BAW,Wangpai M7 (China),2023,"Harbin Dongan Auto Engine Co., Ltd."
China,Beiqi Foton,Foton Mars 9 (China),2023,"Foton ZF LCV Automated Transmission (Jiaxing) Co., Ltd."
China,BYD,Seal DM-i (FF) (China),2023,"Guangdong Hongtu Technology (Holdings) Co., Ltd."
China,BYD,Seal DM-i (FF) (China),2023,"Nanjing Chervon Auto Precision Technology Co., Ltd."
China,BYD,Seal DM-i (FF) (China),2023,"Zhejiang Meili High Technology Co., Ltd."
China,Changan,Lantuozhe (4WD) (China),2023,"ZF Transmissions Shanghai Co., Ltd."
China,Changan,Lantuozhe (FF) (China),2023,"ZF Transmissions Shanghai Co., Ltd."
China,Changan Ford,Lincoln Corsair (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Lincoln Corsair (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Edge L Gasoline (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Edge L Gasoline (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Escape (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Escape (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford EVOS (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Mondeo (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Lincoln Nautilus (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Lincoln Z (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Chery,Tiggo 9 (FF) (China),2023,"Aisin Suzhou Co., Ltd. (Formerly AW Suzhou Co., Ltd.)"
Europe,Citroen,C5 X (France),2023,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Europe,Daimler Truck,Setra MultiClass 500 LE (Turkiye),2023,Voith GmbH & Co. KGaA
Europe,Daimler Truck,Setra MultiClass 500 LE (Turkiye),2023,ZF Friedrichshafen AG
Europe,Dodge,Hornet (Italy),2023,Aisin Europe S.A.
Europe,Dodge,Hornet (Italy),2023,ElringKlinger Italia Srl
China,Dongfeng Peugeot Citroen,Peugeot 408 (FF) (China),2023,"Tianjin Aisin Automatic Transmission Co., Ltd.¡]Formerly Tianjin AW Automatic Transmission Co., Ltd.¡^"
Europe,DS Automobiles,DS DS 7 Crossback E-Tense (France),2023,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Europe,DS Automobiles,DS DS 7 E-Tense (France),2023,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
China,FAW-Volkswagen,Volkswagen ID.6 CROZZ (4WD) (China),2023,"GF Casting Solutions Kunshan Co., Ltd."
China,FAW-Volkswagen,Volkswagen ID.6 CROZZ (RR) (China),2023,"GF Casting Solutions Kunshan Co., Ltd."
China,FAW-Volkswagen,Volkswagen TACQUA (FF) (China),2023,"Jiaxing KEM Electromagnetic Technology Co., Ltd."
China,FAW-Volkswagen,Volkswagen TACQUA R-Line (FF) (China),2023,"Jiaxing KEM Electromagnetic Technology Co., Ltd."
Americas,Ford,E-Series (USA),2023,"American Axle & Manufacturing Holdings, Inc."
ASEAN?India?Korea,Ford,Everest (Thailand),2023,"ATA Casting Technology Co., Ltd."
Americas,Ford,F-150 (USA),2023,Gibbs Die Casting Corporation
Americas,Ford,F-Series (USA),2023,"American Axle & Manufacturing Holdings, Inc."
Americas,Ford,F-Series Super Duty (USA),2023,"Ryobi Die Casting (USA), Inc."
ASEAN?India?Korea,Ford,Ranger (Thailand),2023,"ATA Casting Technology Co., Ltd."
Europe,Ford,Transit Custom (Turkiye),2023,Vibracoustic SE
China,GAC Motor,Trumpchi M8 Master Series Gasoline (FF) (China),2023,"GAC Aisin Automatic Transmission Co., Ltd."
China,Great Wall,Huo POER (China),2023,"Zhejiang Zomax Transmission Co., Ltd."
China,Great Wall,King Kong POER Diesel (4WD) (China),2023,"Zhejiang Zomax Transmission Co., Ltd."
China,Great Wall,King Kong POER Diesel (FR) (China),2023,"Zhejiang Zomax Transmission Co., Ltd."
China,Great Wall,King Kong POER Gasoline (4WD) (China),2023,"Zhejiang Zomax Transmission Co., Ltd."
China,Great Wall,King Kong POER Gasoline (FR) (China),2023,"Zhejiang Zomax Transmission Co., Ltd."
