Region,Maker,Model,Model year,Supplier
ASEAN?India?Korea,Mitsubishi,Triton (Thailand),2025,P.C.S. Machine Group Holding PCL
ASEAN?India?Korea,Mitsubishi,Triton (Thailand),2024,P.C.S. Machine Group Holding PCL
Japan,Daihatsu,Atrai,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Boon,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Cast Style,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Copen Cero,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Copen GR Sport,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Copen Robe,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Copen XPlay,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Hijet Cargo,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Hijet Truck,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Mira e:S,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Mira Tocot,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Move,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Move Canbus,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Move Custom,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Rocky,2023,"Akashi-Kikai Industry Co., Ltd."
ASEAN?India?Korea,Daihatsu,Rocky (Indonesia),2023,P.T. Musashi Auto Parts Indonesia
Japan,Daihatsu,Taft,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Tanto,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Tanto Custom,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Thor,2023,"Akashi-Kikai Industry Co., Ltd."
China,Dongfeng Peugeot Citroen,Citroen C5 X (FF) (China),2023,"MAHLE Engine Components (Chongqing) Co., Ltd."
ASEAN?India?Korea,Honda,City (Thailand),2023,"MAHLE Engine Components (Thailand) Co., Ltd."
Europe,Jaguar Land Rover,Land Rover Defender (Slovakia),2023,Ryobi Aluminium Casting (UK) Ltd.
Europe,Jaguar Land Rover,Land Rover Discovery (Slovakia),2023,Ryobi Aluminium Casting (UK) Ltd.
Europe,Jaguar Land Rover,Jaguar F-Pace (UK),2023,Ryobi Aluminium Casting (UK) Ltd.
Europe,Jaguar Land Rover,Land Rover Range Rover (UK),2023,Ryobi Aluminium Casting (UK) Ltd.
Europe,Jaguar Land Rover,Land Rover Range Rover Sport (UK),2023,Ryobi Aluminium Casting (UK) Ltd.
Europe,Jaguar Land Rover,Land Rover Range Rover Velar (UK),2023,Ryobi Aluminium Casting (UK) Ltd.
Europe,Mercedes-Benz,E-Class (Germany),2023,MAHLE GmbH
Japan,Subaru,Chiffon,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Subaru,Chiffon Custom,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Subaru,Justy,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Subaru,Pleo +,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Subaru,REX,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Subaru,Sambar Dias,2023,"Akashi-Kikai Industry Co., Ltd."
