Region,Maker,Model,Model year,Supplier
China,Geely,Xingyue L (4WD) (China),2025,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Xingyue L (FF) (China),2025,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Xingyue L Zhiqing (FF) (China),2025,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
Europe,SEAT,CUPRA Terramar (Hungary),2025,Friedrich Boysen GmbH & Co. KG
Europe,Skoda,Kodiaq (Czech Republic),2025,Ebersp?cher Gruppe GmbH & Co. KG
China,Geely,Xingyue L (4WD) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Xingyue L (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Xingyue L Zhiqing (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
ASEAN?India?Korea,Honda,Amaze (India),2024,Yutaka Autoparts India Pvt. Ltd.
ASEAN?India?Korea,Honda,City (India),2024,Yutaka Autoparts India Pvt. Ltd.
ASEAN?India?Korea,Honda,City e:HEV (India),2024,Yutaka Autoparts India Pvt. Ltd.
ASEAN?India?Korea,Honda,Elevate (India),2024,Yutaka Autoparts India Pvt. Ltd.
ASEAN?India?Korea,Isuzu,D-Max (Thailand),2024,"Siam Calsonic Co., Ltd."
ASEAN?India?Korea,Isuzu,mu-X (Thailand),2024,"Siam Calsonic Co., Ltd."
Japan,Mazda,Scrum Wagon,2024,"Futaba Industrial Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Attrage (Thailand),2024,"Siam Calsonic Co., Ltd."
Japan,Mitsubishi,Delica D:2 Hybrid,2024,"Futaba Industrial Co., Ltd."
Japan,Mitsubishi,Eclipse Cross PHEV,2024,"Futaba Industrial Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Mirage (Thailand),2024,"Siam Calsonic Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Pajero Sport (Thailand),2024,"Siam Calsonic Co., Ltd."
Japan,Mitsubishi,Town Box,2024,"Futaba Industrial Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Triton (Thailand),2024,"Siam Calsonic Co., Ltd."
ASEAN?India?Korea,Nissan,Almera (Thailand),2024,"Siam Calsonic Co., Ltd."
Japan,Nissan,Clipper Rio,2024,"Futaba Industrial Co., Ltd."
ASEAN?India?Korea,Nissan,Kicks e-POWER (Thailand),2024,"Siam Calsonic Co., Ltd."
ASEAN?India?Korea,Nissan,Navara (Thailand),2024,"Siam Calsonic Co., Ltd."
ASEAN?India?Korea,Nissan,Terra (Thailand),2024,"Siam Calsonic Co., Ltd."
Europe,Renault,Austral E-TECH Hybrid (Spain),2024,FORVIA SE (FORVIA faurecia) (Formerly Faurecia SE)
