Region,Maker,Model,Model year,Supplier
China,Chery,Tiggo 9 (4WD) (China),2025,"Daao (Wuhu) Automobile Products Co., Ltd.(Formerly Tower (Wuhu) Automotive Parts Co., Ltd.)"
China,Chery,Tiggo 9 (FF) (China),2025,"Daao (Wuhu) Automobile Products Co., Ltd.(Formerly Tower (Wuhu) Automotive Parts Co., Ltd.)"
Europe,Citroen,e-C3 (Slovakia),2025,Gedia Gebrueder Dingerkus GmbH
Europe,Citroen,e-C3 (Slovakia),2025,Gedia Gebrueder Dingerkus GmbH
Europe,Citroen,e-C3 (Slovakia),2025,Gedia Gebrueder Dingerkus GmbH
Europe,Citroen,e-C3 (Slovakia),2025,Gedia Gebrueder Dingerkus GmbH
China,Geely,Zeekr 001 (4WD) (China),2025,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Zeekr 001 (4WD) (China),2025,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Zeekr 001 (4WD) (China),2025,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Zeekr 001 (RR) (China),2025,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Zeekr 001 (RR) (China),2025,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Zeekr 001 (RR) (China),2025,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
Americas,GM,Chevrolet Silverado EV (USA),2025,Martinrea International US Inc.
Americas,Jeep,Recon (Mexico),2025,KIRCHHOFF Automotive Mexico S.A. de C.V. - Puebla
Americas,Jeep,Wagoneer S (Mexico),2025,KIRCHHOFF Automotive Mexico S.A. de C.V. - Puebla
Americas,Mercedes-Benz,GLE (USA),2025,ACPS Automotive de Mexico SA de CV.
Europe,Renault,Scenic E-TECH (France),2025,SNOP
Europe,Renault,Scenic E-TECH (France),2025,SNOP
