Region,Maker,Model,Model year,Supplier
Americas,Ford,Mustang (USA),2024,"FTE Mexicana, S.A. de C.V. (Valeo Mexico Puebla)"
Americas,Ford,Mustang (USA),2024,"FTE Mexicana, S.A. de C.V. (Valeo Mexico Puebla)"
Japan,Honda,N-ONE,2024,Valeo Kapec Japan K.K.
China,SAIC GM,Buick GL8 PHEV (FF) (China),2024,"BorgWarner United Transmission Systems Co., Ltd."
Japan,Subaru,BRZ,2024,EXEDY Corporation
Japan,Suzuki,Swift Sport,2024,Valeo Kapec Japan K.K.
Japan,Toyota,GR Yaris,2024,Schaeffler AG
Japan,Toyota,GR86,2024,EXEDY Corporation
China,BYD,Seal DM-i (FF) (China),2023,"Guangdong Hongtu Technology (Holdings) Co., Ltd."
China,Changan Ford,Lincoln Corsair (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Lincoln Corsair (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Edge L Gasoline (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Edge L Gasoline (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Escape (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Escape (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford EVOS (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Mondeo (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Lincoln Nautilus (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Lincoln Z (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Chery,Tiggo 8 Plus kunpeng e+ (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
Japan,Daihatsu,Copen GR Sport,2023,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Americas,Ford,Mustang (USA),2023,"FTE Mexicana, S.A. de C.V. (Valeo Mexico Puebla)"
ASEAN?India?Korea,Honda,Amaze (India),2023,FCC Clutch India Private Limited (Formerly FCC India Manufacturing Pvt. Ltd.)
Japan,Honda,N-ONE,2023,Valeo Kapec Japan K.K.
ASEAN?India?Korea,Hyundai,Alcazar (India),2023,KOMOS Automotive India
ASEAN?India?Korea,Hyundai,Aura (India),2023,KOMOS Automotive India
ASEAN?India?Korea,Hyundai,Creta (India),2023,KOMOS Automotive India
ASEAN?India?Korea,Hyundai,Exter (India),2023,KOMOS Automotive India
ASEAN?India?Korea,Hyundai,Genesis G80 (Korea),2023,"Hwasin Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Grand i10 Nios (India),2023,KOMOS Automotive India
ASEAN?India?Korea,Hyundai,i20 (India),2023,KOMOS Automotive India
ASEAN?India?Korea,Hyundai,Palisade (Korea),2023,"Hwasin Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Santa Fe (Korea),2023,"Hwasin Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Tucson (India),2023,KOMOS Automotive India
