Region,Maker,Model,Model year,Supplier
Americas,Mazda,Mazda2 (Mexico),2024,Kawada MX S.A. de C.V.
Americas,Mazda,Mazda3 (Mexico),2024,Kawada MX S.A. de C.V.
Japan,Daihatsu,Cast Style,2023,Metalart Corporation
Japan,Daihatsu,Cast Style,2023,Metalart Corporation
Japan,Daihatsu,Copen Cero,2023,Metalart Corporation
Japan,Daihatsu,Copen GR Sport,2023,Metalart Corporation
Japan,Daihatsu,Copen Robe,2023,Metalart Corporation
Japan,Daihatsu,Copen XPlay,2023,Metalart Corporation
ASEAN?India?Korea,Daihatsu,Gran Max Cargo (Indonesia),2023,PT Metalart Astra Indonesia (Formerly PT Metalart Indonesia)
ASEAN?India?Korea,Daihatsu,Gran Max Truck (Indonesia),2023,PT Metalart Astra Indonesia (Formerly PT Metalart Indonesia)
Japan,Daihatsu,Hijet Cargo,2023,Metalart Corporation
Japan,Daihatsu,Hijet Cargo,2023,Metalart Corporation
Japan,Daihatsu,Hijet Truck,2023,Metalart Corporation
Japan,Daihatsu,Mira e:S,2023,Metalart Corporation
Japan,Daihatsu,Mira Tocot,2023,Metalart Corporation
Japan,Daihatsu,Move,2023,Metalart Corporation
Japan,Daihatsu,Move,2023,Metalart Corporation
Japan,Daihatsu,Move Canbus,2023,Metalart Corporation
Japan,Daihatsu,Move Canbus,2023,Metalart Corporation
Japan,Daihatsu,Move Custom,2023,Metalart Corporation
Japan,Daihatsu,Move Custom,2023,Metalart Corporation
Japan,Daihatsu,Rocky,2023,Metalart Corporation
Japan,Daihatsu,Rocky HEV,2023,Metalart Corporation
Japan,Daihatsu,Taft,2023,Metalart Corporation
Japan,Daihatsu,Taft,2023,Metalart Corporation
Japan,Daihatsu,Tanto,2023,Metalart Corporation
Japan,Daihatsu,Tanto,2023,Metalart Corporation
Japan,Daihatsu,Tanto Custom,2023,Metalart Corporation
Japan,Daihatsu,Tanto Custom,2023,Metalart Corporation
China,FAW,Hongqi HQ9 (FF) (China),2023,"Landai Technology Group Corp., Ltd. (Formerly Chongqing Landai Power Transmission Machinery Co., Ltd.)"
Japan,Honda,Civic e:HEV,2023,"Musashi Seimitsu Industry Co., Ltd."
ASEAN?India?Korea,Kia,Carnival (Korea),2023,"Woosu AMS Co., Ltd.  (Formerly Woosu Automotive Co., Ltd.)"
China,Li Auto,Li L7 (4WD) (China),2023,"Neijiang Jinhong Crankshaft Co., Ltd."
China,Li Auto,Li L8 (4WD) (China),2023,"Neijiang Jinhong Crankshaft Co., Ltd."
China,Li Auto,Li L9 (4WD) (China),2023,"Neijiang Jinhong Crankshaft Co., Ltd."
ASEAN?India?Korea,Mazda,Bongo Truck (Indonesia),2023,PT Metalart Astra Indonesia (Formerly PT Metalart Indonesia)
ASEAN?India?Korea,Mazda,Bongo Van (Indonesia),2023,PT Metalart Astra Indonesia (Formerly PT Metalart Indonesia)
ASEAN?India?Korea,Mazda,CX-3 (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
Japan,Mazda,CX-30,2023,Aichi Steel Corporation
ASEAN?India?Korea,Mazda,CX-30 (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
Japan,Mazda,CX-5,2023,"Keeper Co., Ltd."
Japan,Mazda,Mazda2,2023,Aichi Steel Corporation
Americas,Mazda,Mazda2 (Mexico),2023,Kawada MX S.A. de C.V.
ASEAN?India?Korea,Mazda,Mazda2 Sedan (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
Americas,Mazda,Mazda3 (Mexico),2023,Kawada MX S.A. de C.V.
Japan,Mazda,Mazda3 Fastback,2023,"Keeper Co., Ltd."
Japan,Mazda,Mazda3 Sedan,2023,Aichi Steel Corporation
Japan,Mazda,Mazda3 Sedan,2023,"Keeper Co., Ltd."
ASEAN?India?Korea,Mazda,Mazda3 Sedan (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
Japan,Mazda,Mazda6 Sedan,2023,"Keeper Co., Ltd."
Japan,Mazda,Mazda6 Wagon,2023,"Keeper Co., Ltd."
Japan,Mitsubishi,Delica D:5,2023,"Keeper Co., Ltd."
Japan,Mitsubishi,Eclipse Cross,2023,"Keeper Co., Ltd."
Japan,Mitsubishi,Eclipse Cross PHEV,2023,"Keeper Co., Ltd."
Japan,Mitsubishi,eK Space,2023,"Keeper Co., Ltd."
Japan,Mitsubishi,eK X,2023,"Keeper Co., Ltd."
Japan,Mitsubishi,Outlander PHEV,2023,"Keeper Co., Ltd."
Japan,Mitsubishi,RVR,2023,"Keeper Co., Ltd."
China,SERES,AITO Wenjie M5 (4WD) (China),2023,"Neijiang Jinhong Crankshaft Co., Ltd."
China,SERES,AITO Wenjie M5 (RR) (China),2023,"Neijiang Jinhong Crankshaft Co., Ltd."
China,SERES,AITO Wenjie M7 (4WD) (China),2023,"Neijiang Jinhong Crankshaft Co., Ltd."
China,SERES,AITO Wenjie M7 (RR) (China),2023,"Neijiang Jinhong Crankshaft Co., Ltd."
China,SERES,AITO Wenjie M9 (4WD) (China),2023,"Neijiang Jinhong Crankshaft Co., Ltd."
Japan,Subaru,Chiffon,2023,Metalart Corporation
Japan,Subaru,Chiffon,2023,Metalart Corporation
Japan,Subaru,Chiffon Custom,2023,Metalart Corporation
Japan,Subaru,Chiffon Custom,2023,Metalart Corporation
Japan,Subaru,Pleo +,2023,Metalart Corporation
Japan,Subaru,REX,2023,Metalart Corporation
Japan,Subaru,Sambar Dias,2023,Metalart Corporation
Japan,Subaru,Sambar Truck,2023,Metalart Corporation
Japan,Subaru,Sambar Van,2023,Metalart Corporation
Japan,Subaru,Sambar Van,2023,Metalart Corporation
Japan,Subaru,Stella,2023,Metalart Corporation
Japan,Subaru,Stella Custom,2023,Metalart Corporation
Japan,Toyota,C-HR,2023,Aichi Steel Corporation
ASEAN?India?Korea,Toyota,C-HR (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Commuter (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
Japan,Toyota,Copen GR Sport,2023,Metalart Corporation
Japan,Toyota,Corolla,2023,Aichi Steel Corporation
ASEAN?India?Korea,Toyota,Corolla Altis (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Corolla Cross (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Fortuner (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Hilux Revo (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
Japan,Toyota,Pixis Epoch,2023,Metalart Corporation
Japan,Toyota,Pixis Joy F,2023,Metalart Corporation
Japan,Toyota,Pixis Joy F,2023,Metalart Corporation
Japan,Toyota,Pixis Truck,2023,Metalart Corporation
Japan,Toyota,Pixis Van,2023,Metalart Corporation
Japan,Toyota,Pixis Van,2023,Metalart Corporation
Japan,Toyota,Raize,2023,Metalart Corporation
Japan,Toyota,Raize Hybrid,2023,Metalart Corporation
ASEAN?India?Korea,Toyota,Townace Truck (Indonesia),2023,PT Metalart Astra Indonesia (Formerly PT Metalart Indonesia)
ASEAN?India?Korea,Toyota,Townace Van (Indonesia),2023,PT Metalart Astra Indonesia (Formerly PT Metalart Indonesia)
