Region,Maker,Model,Model year,Supplier
Europe,Citroen,e-C3 (Slovakia),2025,Gedia Gebrueder Dingerkus GmbH
Europe,Citroen,e-C3 (Slovakia),2025,"Snop Automotive Malacky, a.s. (Formerly Tower Automotive a.s. - Malacky)"
Europe,Citroen,e-C3 (Slovakia),2025,"Snop Automotive Malacky, a.s. (Formerly Tower Automotive a.s. - Malacky)"
Americas,GM,Cadillac OPTIQ (Mexico),2025,Martinrea International Inc.
Japan,Nissan,Note Aura,2025,UNIPRES Corporation
Japan,Nissan,Note e-POWER,2025,UNIPRES Corporation
Europe,Renault,Scenic E-TECH (France),2025,SNOP
Europe,Skoda,Kodiaq (Czech Republic),2025,Gestamp Automocion S.A.
Europe,Volkswagen,T7 California (Germany),2025,Linde + Wiemann SE & Co. KG
Europe,Audi,Q6 e-tron (Germany),2024,Gestamp Automocion S.A.
Europe,Citroen,e-C3 (Slovakia),2024,Gedia Gebrueder Dingerkus GmbH
Europe,Citroen,e-C3 (Slovakia),2024,"Snop Automotive Malacky, a.s. (Formerly Tower Automotive a.s. - Malacky)"
Europe,Citroen,e-C3 (Slovakia),2024,"Snop Automotive Malacky, a.s. (Formerly Tower Automotive a.s. - Malacky)"
China,Geely,LYNK & CO 01 (4WD) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 01 (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 01 EM-F (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 01 EM-P (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 07 EM-P (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,LYNK & CO 07 EM-P (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Emgrand (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,Geely,Emgrand L Hi¡PP (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
ASEAN?India?Korea,Great Wall,Tank 300 HEV (Thailand),2024,"AAPICO Hitech Public Co., Ltd."
ASEAN?India?Korea,Honda,WR-V (Indonesia),2024,PT. Indonesia Thai Summit Auto
ASEAN?India?Korea,Hyundai,Stargazer (Indonesia),2024,PT. Indonesia Thai Summit Auto
ASEAN?India?Korea,Hyundai,Stargazer (Indonesia),2024,PT. Indonesia Thai Summit Auto
ASEAN?India?Korea,Isuzu,F-Series (Thailand),2024,"Thai Rung Union Car Public Co., Ltd."
ASEAN?India?Korea,Isuzu,N-Series (Thailand),2024,"Thai Rung Union Car Public Co., Ltd."
Americas,Mazda,CX-3 (Mexico),2024,"Y-TEC KEYLEX Mexico, S.A. de C.V."
Americas,Mazda,CX-30 (Mexico),2024,"Y-TEC KEYLEX Mexico, S.A. de C.V."
Americas,Mazda,Mazda3 Hatchback (Mexico),2024,"Y-TEC KEYLEX Mexico, S.A. de C.V."
Americas,Mazda,Mazda3 Sedan (Mexico),2024,"Y-TEC KEYLEX Mexico, S.A. de C.V."
ASEAN?India?Korea,Mitsubishi,Xpander (Indonesia),2024,PT. Indonesia Thai Summit Auto
ASEAN?India?Korea,Mitsubishi,Xpander Cross (Indonesia),2024,PT. Indonesia Thai Summit Auto
ASEAN?India?Korea,Nissan,Livina (Indonesia),2024,PT. Indonesia Thai Summit Auto
Europe,Renault,Scenic E-TECH (France),2024,SNOP
China,SAIC Passenger Vehicle,MG MG5 (FF) (China),2024,"Zhejiang Tion Vanly Tech. Co., Ltd. (Formerly Zhejiang Taihong Machinery & Electronics Co., Ltd.)"
China,SAIC Volkswagen,Volkswagen ID.4 X (4WD) (China),2024,"Gestamp Automotive Kunshan Co., Ltd."
China,SAIC Volkswagen,Volkswagen ID.4 X (RR) (China),2024,"Gestamp Automotive Kunshan Co., Ltd."
China,SAIC Volkswagen,Volkswagen ID.6 X (4WD) (China),2024,"Gestamp Automotive Kunshan Co., Ltd."
