?Region,?Maker,?Model,?Model year,?Supplier
China,BYD,Qin Plus DM-i (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Qin Plus DM-i (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Seal U (Song Plus) DM-i (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Seal U (Song Plus) DM-i (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Song MAX DM-i (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Song MAX DM-i (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Song Pro DM-i (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,BYD,Song Pro DM-i (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS15 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS15 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS35 PLUS (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS35 PLUS (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS55 PLUS (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS55 PLUS (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS iDD (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS75 PLUS iDD (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS85 COUPE (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS85 COUPE (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS85 COUPE (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS85 COUPE (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS95 PLUS (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,CS95 PLUS (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K (4WD) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K iDD (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-K iDD (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-T (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-T (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-T iDD (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-T iDD (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V iDD (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,UNI-V iDD (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 PLUS (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X5 PLUS (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X7 PLUS (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan X7 PLUS (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 iDD (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Changan,Oshan Z6 iDD (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Boyue COOL (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Boyue COOL (FF) (China),2024,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Boyue L (Starray) (Atlas) (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Boyue L (Starray) (Atlas) (FF) (China),2024,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Boyue L (Starray) (Atlas) (FF) (China),2024,"Ningbo Geely Royal Engine Parts Co., Ltd."
