Region,Maker,Model,Model year,Supplier
ASEAN?India?Korea,Ford,Everest (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Ford,Ranger (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
China,Geely,JI YUE 07 (4WD) (China),2024,"Brembo (Nanjing) Brake Systems Co., Ltd."
China,Geely,JI YUE 07 (RR) (China),2024,"Brembo (Nanjing) Brake Systems Co., Ltd."
ASEAN?India?Korea,Honda,City (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Honda,City Hatchback (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
Japan,Honda,Fit,2024,"Akebono Brake Industry Co., Ltd."
Japan,Honda,Fit,2024,Continental AG
Japan,Honda,Fit e:HEV,2024,"Akebono Brake Industry Co., Ltd."
Japan,Honda,Fit e:HEV,2024,Continental AG
ASEAN?India?Korea,Isuzu,D-Max (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Isuzu,mu-X (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Maruti Suzuki,Wagon R (India),2024,Sellowrap Industries Pvt. Ltd. (Formerly Sellowrap Manufacturing Pvt. Ltd.)
ASEAN?India?Korea,Mazda,Mazda2 Hatchback (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Mazda,Mazda2 Sedan (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
Japan,Mitsubishi,eK Space,2024,"Akebono Brake Industry Co., Ltd."
Japan,Mitsubishi,eK X Space,2024,"Akebono Brake Industry Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Triton (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
Japan,Nissan,Leaf,2024,"Akebono Brake Industry Co., Ltd."
ASEAN?India?Korea,Nissan,Navara (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
Japan,Nissan,Roox,2024,"Akebono Brake Industry Co., Ltd."
ASEAN?India?Korea,Nissan,Terra (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
Japan,Subaru,BRZ,2024,Brembo S.p.A.
Japan,Subaru,Levorg,2024,Nisshinbo Brake Inc.
Japan,Subaru,Levorg Layback,2024,Nisshinbo Brake Inc.
ASEAN?India?Korea,Suzuki,Celerio (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Suzuki,Ciaz (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Suzuki,Swift (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Tata,Curvv (India),2024,Brakes India Private Limited
ASEAN?India?Korea,Tata,Curvv (India),2024,HL Mando Corporation (Formerly Mando Corporation)
ASEAN?India?Korea,Tata,Curvv.ev (India),2024,Brakes India Private Limited
ASEAN?India?Korea,Tata,Curvv.ev (India),2024,HL Mando Corporation (Formerly Mando Corporation)
ASEAN?India?Korea,Tata,Nexon EV (India),2024,HL Mando Corporation (Formerly Mando Corporation)
Japan,Toyota,Granace,2024,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Granace,2024,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Lexus IS300,2024,"ADVICS Co., Ltd."
Japan,Toyota,Lexus IS300h,2024,"ADVICS Co., Ltd."
Japan,Toyota,Lexus IS350,2024,"ADVICS Co., Ltd."
Japan,Toyota,Lexus IS500,2024,"ADVICS Co., Ltd."
Japan,Toyota,Yaris,2024,"Akebono Brake Industry Co., Ltd."
ASEAN?India?Korea,Toyota,Yaris ATIV (Thailand),2024,"Resonac Materials (Thailand) Co., Ltd. (Formerly Showa Denko Materials (Thailand) Co., Ltd.)"
Japan,Toyota,Yaris Hybrid,2024,"Akebono Brake Industry Co., Ltd."
Europe,Volkswagen,Crafter (Poland),2024,Federal-Mogul Holdings LLC
ASEAN?India?Korea,Yulon,Luxgen n7 (Taiwan),2024,"Taiwan Atecx Auto Parts Co., Ltd. (Formerly ADVICS Taiwan Automotive Parts Co., Ltd.)"
Europe,Alfa Romeo,Tonale (Italy),2023,Federal-Mogul Holdings LLC
Europe,Audi,A4 (Germany),2023,Federal-Mogul Holdings LLC
Europe,Audi,A6 (Germany),2023,Federal-Mogul Holdings LLC
Europe,Audi,Q7 (Slovakia),2023,Federal-Mogul Holdings LLC
China,BYD,Seal DM-i (FF) (China),2023,"Shandong Longji Machinery Co., Ltd."
Japan,Daihatsu,Rocky,2023,"Akebono Brake Industry Co., Ltd."
Japan,Daihatsu,Rocky HEV,2023,"Akebono Brake Industry Co., Ltd."
Europe,Dodge,Hornet (Italy),2023,ZF Friedrichshafen AG
ASEAN?India?Korea,Honda,Elevate (India),2023,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Fronx (India),2023,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Grand Vitara (India),2023,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Jimny (India),2023,Allied JB Friction Pvt. Ltd.
Japan,Mazda,CX-5,2023,Federal-Mogul Holdings LLC
Europe,Mercedes-Benz,E-Class (Germany),2023,Brembo S.p.A.
Europe,Mercedes-Benz,EQA (Germany),2023,Federal-Mogul Holdings LLC
Japan,Mitsubishi,eK Space,2023,"Akebono Brake Industry Co., Ltd."
Japan,Mitsubishi,eK X Space,2023,"Akebono Brake Industry Co., Ltd."
Japan,Nissan,Roox,2023,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,GR Yaris,2023,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Lexus LC500,2023,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Lexus LC500h,2023,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Raize,2023,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Raize Hybrid,2023,"Akebono Brake Industry Co., Ltd."
ASEAN?India?Korea,Toyota,Urban Cruiser Hyryder (India),2023,Allied JB Friction Pvt. Ltd.
Europe,Volkswagen,Crafter (Poland),2023,Federal-Mogul Holdings LLC
Europe,Alfa Romeo,Tonale (Italy),2022,Federal-Mogul Holdings LLC
Europe,Audi,A4 (Germany),2022,Federal-Mogul Holdings LLC
Europe,Audi,A6 (Germany),2022,Federal-Mogul Holdings LLC
Europe,Audi,Q7 (Slovakia),2022,Federal-Mogul Holdings LLC
Japan,Daihatsu,Altis Hybrid,2022,"Akebono Brake Industry Co., Ltd."
Japan,Daihatsu,Rocky,2022,"Akebono Brake Industry Co., Ltd."
Japan,Daihatsu,Rocky HEV,2022,"Akebono Brake Industry Co., Ltd."
Americas,Faraday Future,FF 91 (USA),2022,Brembo North America Inc.
Americas,Ford,Bronco Sport (Mexico),2022,Continental AG
ASEAN?India?Korea,Ford,EcoSport (India),2022,Allied JB Friction Pvt. Ltd.
Americas,Ford,Escape (USA),2022,Continental AG
China,Fujian Benz,Mercedes-Benz Vito (FR) (China),2022,"Shandong Gold Phoenix Co., Ltd."
ASEAN?India?Korea,Honda,Amaze (India),2022,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Honda,City (India),2022,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Honda,CR-V (Thailand),2022,"Nisshinbo Somboon Automotive Co.,Ltd."
Japan,Honda,Fit,2022,"Akebono Brake Industry Co., Ltd."
Japan,Honda,Fit e:HEV,2022,"Akebono Brake Industry Co., Ltd."
Japan,Honda,Freed,2022,"Akebono Brake Industry Co., Ltd."
Europe,INEOS,Grenadier (France),2022,Brembo S.p.A.
ASEAN?India?Korea,Isuzu,D-Max (India),2022,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Isuzu,mu-X (Thailand),2022,ZF Friedrichshafen AG
Europe,Jaguar Land Rover,Land Rover Range Rover Evoque (UK),2022,Continental AG
Europe,Jaguar Land Rover,Land Rover Range Rover Sport SVR (UK),2022,ZF Friedrichshafen AG
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Bolero (India),2022,Tenneco Inc.
ASEAN?India?Korea,Maruti Suzuki,Alto K10 (India),2022,Tenneco Inc.
ASEAN?India?Korea,Maruti Suzuki,Baleno (India),2022,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Celerio (India),2022,Tenneco Inc.
ASEAN?India?Korea,Maruti Suzuki,Ciaz (India),2022,Tenneco Inc.
ASEAN?India?Korea,Maruti Suzuki,Dzire (India),2022,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Ertiga (India),2022,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Grand Vitara (India),2022,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Swift (India),2022,Allied JB Friction Pvt. Ltd.
ASEAN?India?Korea,Maruti Suzuki,Swift (India),2022,Tenneco Inc.
ASEAN?India?Korea,Maruti Suzuki,Wagon R (India),2022,Tenneco Inc.
ASEAN?India?Korea,Maruti Suzuki,XL6 (India),2022,Allied JB Friction Pvt. Ltd.
Japan,Mazda,CX-5,2022,Federal-Mogul Holdings LLC
Europe,Mercedes-Benz,EQA (Germany),2022,Federal-Mogul Holdings LLC
Japan,Mitsubishi,eK Space,2022,"Akebono Brake Industry Co., Ltd."
Japan,Mitsubishi,eK X Space,2022,"Akebono Brake Industry Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Triton (Thailand),2022,"Nisshinbo Somboon Automotive Co.,Ltd."
Japan,Nissan,Leaf,2022,"Akebono Brake Industry Co., Ltd."
Japan,Nissan,Roox,2022,"Akebono Brake Industry Co., Ltd."
Europe,Peugeot,208 (Slovakia),2022,ITT Inc.
Japan,Toyota,Alphard,2022,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Alphard Hybrid,2022,"Akebono Brake Industry Co., Ltd."
ASEAN?India?Korea,Toyota,Camry (Thailand),2022,"Nisshinbo Somboon Automotive Co.,Ltd."
Japan,Toyota,Camry Hybrid,2022,"Akebono Brake Industry Co., Ltd."
ASEAN?India?Korea,Toyota,Camry Hybrid (Thailand),2022,"Akebono Brake (Thailand) Co., Ltd."
ASEAN?India?Korea,Toyota,Camry Hybrid (Thailand),2022,"Nisshinbo Somboon Automotive Co.,Ltd."
ASEAN?India?Korea,Toyota,Corolla Altis (Thailand),2022,"Nisshinbo Somboon Automotive Co.,Ltd."
ASEAN?India?Korea,Toyota,Corolla Cross (Thailand),2022,"Nisshinbo Somboon Automotive Co.,Ltd."
Japan,Toyota,Granace,2022,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Granace,2022,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Raize,2022,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Raize Hybrid,2022,"Akebono Brake Industry Co., Ltd."
Europe,Toyota,Supra (Austria),2022,Brembo S.p.A.
ASEAN?India?Korea,Toyota,Urban Cruiser Hyryder (India),2022,Allied JB Friction Pvt. Ltd.
Japan,Toyota,Vellfire,2022,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Vellfire Hybrid,2022,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Yaris,2022,"Akebono Brake Industry Co., Ltd."
Japan,Toyota,Yaris Cross,2022,"Akebono Brake Industry Co., Ltd."
