Region,Maker,Model,Model year,Supplier
ASEAN?India?Korea,Citroen,Basalt (India),2024,Brakes India Private Limited
Japan,Daihatsu,Mira Tocot,2023,"Daihatsu Metal Co., Ltd."
Americas,Nissan,March (Mexico),2023,Kiriu Mexicana S.A. de C.V.
Japan,Nissan,Note Aura,2023,Kiriu Corporation
Japan,Nissan,Note e-POWER,2023,Kiriu Corporation
Americas,Nissan,NP300 (Mexico),2023,Kiriu Mexicana S.A. de C.V.
Americas,Nissan,Versa (Mexico),2023,Kiriu Mexicana S.A. de C.V.
ASEAN?India?Korea,Ford,Everest (Thailand),2022,"Thai Summit Engineering Co., Ltd."
ASEAN?India?Korea,Ford,Ranger (Thailand),2022,"Thai Summit Engineering Co., Ltd."
ASEAN?India?Korea,Honda,City (Thailand),2022,"Kiriu (Thailand) Co., Ltd."
ASEAN?India?Korea,Isuzu,D-Max (Thailand),2022,"Thai Summit Engineering Co., Ltd."
ASEAN?India?Korea,Isuzu,mu-X (Thailand),2022,"Thai Summit Engineering Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Attrage (Thailand),2022,"Thai Summit Engineering Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Mirage (Thailand),2022,"Thai Summit Engineering Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Pajero Sport (Thailand),2022,"Kiriu (Thailand) Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Pajero Sport (Thailand),2022,"Thai Summit Engineering Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Triton (Thailand),2022,"Kiriu (Thailand) Co., Ltd."
ASEAN?India?Korea,Mitsubishi,Triton (Thailand),2022,"Thai Summit Engineering Co., Ltd."
ASEAN?India?Korea,Nissan,Almera (Thailand),2022,"Kiriu (Thailand) Co., Ltd."
ASEAN?India?Korea,Nissan,March (Thailand),2022,"Kiriu (Thailand) Co., Ltd."
ASEAN?India?Korea,Nissan,Navara (Thailand),2022,"Kiriu (Thailand) Co., Ltd."
ASEAN?India?Korea,Nissan,Navara (Thailand),2022,"Thai Summit Engineering Co., Ltd."
