Region,Maker,Model,Model year,Supplier
ASEAN?India?Korea,Hyundai,Creta (India),2025,Faurecia Clean Mobility - Chennai
ASEAN?India?Korea,Jeep,Compass (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Jeep,Meridian (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Kia,Seltos (India),2025,Faurecia Clean Mobility - Chennai
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Scorpio-N (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Thar ROXX (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV700 (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Skoda,Kushaq (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Skoda,Kylaq (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Skoda,Slavia (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Tata,Harrier (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Tata,Safari (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Volkswagen,Taigun (India),2025,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Volkswagen,Virtus (India),2025,Faurecia Clean Mobility - Chakan
Americas,Citroen,Basalt (Brazil),2024,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.)
ASEAN?India?Korea,Honda,Amaze (India),2024,Yutaka Autoparts India Pvt. Ltd.
ASEAN?India?Korea,Honda,City (India),2024,Yutaka Autoparts India Pvt. Ltd.
ASEAN?India?Korea,Honda,City e:HEV (India),2024,Yutaka Autoparts India Pvt. Ltd.
ASEAN?India?Korea,Honda,Elevate (India),2024,Yutaka Autoparts India Pvt. Ltd.
ASEAN?India?Korea,Hyundai,Creta (India),2024,Faurecia Clean Mobility - Chennai
ASEAN?India?Korea,Jeep,Compass (India),2024,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Jeep,Meridian (India),2024,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Kia,Seltos (India),2024,Faurecia Clean Mobility - Chennai
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Scorpio-N (India),2024,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Thar ROXX (India),2024,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV700 (India),2024,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Maruti Suzuki,Jimny (India),2024,Yutaka Autoparts India Pvt. Ltd.
ASEAN?India?Korea,Mazda,CX-3 (Thailand),2024,"Hirotec Manufacturing (Thailand) Co., Ltd."
ASEAN?India?Korea,Mazda,CX-30 (Thailand),2024,"Hirotec Manufacturing (Thailand) Co., Ltd."
Japan,Mazda,Flair,2024,"Futaba Industrial Co., Ltd."
ASEAN?India?Korea,Mazda,Mazda2 Hatchback (Thailand),2024,"Hirotec Manufacturing (Thailand) Co., Ltd."
ASEAN?India?Korea,Mazda,Mazda2 Sedan (Thailand),2024,"Hirotec Manufacturing (Thailand) Co., Ltd."
ASEAN?India?Korea,Mazda,Mazda3 Fastback (Thailand),2024,"Hirotec Manufacturing (Thailand) Co., Ltd."
ASEAN?India?Korea,Mazda,Mazda3 Sedan (Thailand),2024,"Hirotec Manufacturing (Thailand) Co., Ltd."
Japan,Mitsubishi,Delica D:5,2024,"Futaba Industrial Co., Ltd."
Japan,Mitsubishi,Outlander PHEV,2024,"Futaba Industrial Co., Ltd."
ASEAN?India?Korea,Skoda,Kushaq (India),2024,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Skoda,Slavia (India),2024,Faurecia Clean Mobility - Chakan
Japan,Suzuki,Hustler,2024,"Futaba Industrial Co., Ltd."
Japan,Suzuki,Jimny Sierra,2024,"Yutaka Giken Co., Ltd."
Japan,Suzuki,Solio,2024,"Futaba Industrial Co., Ltd."
Japan,Suzuki,Solio Bandit Hybrid,2024,"Futaba Industrial Co., Ltd."
Japan,Suzuki,Solio Hybrid,2024,"Futaba Industrial Co., Ltd."
Japan,Suzuki,Wagon R,2024,"Futaba Industrial Co., Ltd."
Japan,Suzuki,Wagon R Custom Z,2024,"Futaba Industrial Co., Ltd."
Japan,Suzuki,Wagon R HYBRID,2024,"Futaba Industrial Co., Ltd."
Japan,Suzuki,Wagon R SMILE,2024,"Futaba Industrial Co., Ltd."
Japan,Suzuki,Wagon R Stingray,2024,"Futaba Industrial Co., Ltd."
ASEAN?India?Korea,Tata,Harrier (India),2024,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Tata,Safari (India),2024,Faurecia Clean Mobility - Chakan
Japan,Toyota,Alphard,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Aqua,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Century,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Corolla,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Corolla Axio,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Corolla Fielder,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Corolla Sport,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Corolla Touring,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Crown Sedan,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus IS500,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,JPN Taxi,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Land Cruiser 300,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus LC500,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus LC500 Convertible,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus LM350,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus LS500,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus LX500d,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus LX600,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus NX350,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Probox,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus RC F,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus RX350,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus RX350h,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Lexus RX450h+,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Sienta,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Vellfire,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Yaris,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Yaris Cross,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Yaris Cross Hybrid,2024,"Futaba Industrial Co., Ltd."
Japan,Toyota,Yaris Hybrid,2024,"Futaba Industrial Co., Ltd."
ASEAN?India?Korea,Volkswagen,Taigun (India),2024,Faurecia Clean Mobility - Chakan
ASEAN?India?Korea,Volkswagen,Virtus (India),2024,Faurecia Clean Mobility - Chakan
China,Dongfeng Honda,Honda Civic (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Civic e:HEV (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Civic Hatchback e:HEV (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Civic Hatchback Sport Turbo (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V Black Edition (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V Black Edition (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V e:PHEV (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V Sport Hybrid (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V Sport Hybrid (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Elysion e:HEV (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Inspire Sport Hybrid (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Inspire Sport Turbo (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda UR-V (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda UR-V (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda UR-V (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda XR-V (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Peugeot Citroen,Citroen C5 X (FF) (China),2023,"Chengdu Faurecia Automotive System Co., Ltd."
China,GAC Honda,Honda Accord (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Accord Hybrid (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Avancier (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Avancier (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Avancier (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Breeze (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Breeze (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Breeze Hybrid e+ (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Breeze Sport Hybrid (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Crider (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
