Region,Maker,Model,Model year,Supplier
Americas,Ford,Explorer (USA),2025,Robert Bosch LLC - Charleston
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV700 (India),2025,Bosch Ltd.
Europe,Skoda,Kodiaq (Czech Republic),2025,Hirschvogel Group (Hirschvogel Holding GmbH)
China,Changan,UNI-Z iDD (FF) (China),2024,"Phinia Delphi Automotive Systems (Shanghai) Co., Ltd. (Formerly BorgWarner Shanghai Automotive Fuel Systems Co., Ltd.)"
Americas,Citroen,Basalt (Brazil),2024,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.)
China,Deepal,G318 (4WD) (China),2024,"Phinia Delphi Automotive Systems (Shanghai) Co., Ltd. (Formerly BorgWarner Shanghai Automotive Fuel Systems Co., Ltd.)"
China,Deepal,G318 (RR) (China),2024,"Phinia Delphi Automotive Systems (Shanghai) Co., Ltd. (Formerly BorgWarner Shanghai Automotive Fuel Systems Co., Ltd.)"
Americas,Ford,Escape (USA),2024,Robert Bosch LLC - Charleston
Americas,Ford,Explorer (USA),2024,Robert Bosch LLC - Charleston
Americas,Ford,Mustang (USA),2024,Robert Bosch LLC - Charleston
ASEAN?India?Korea,Hyundai,Creta (India),2024,Hyundai Kefico Corporation
ASEAN?India?Korea,Hyundai,Exter (India),2024,Hyundai Kefico Corporation
ASEAN?India?Korea,Hyundai,Grand i10 Nios (India),2024,Hyundai Kefico Corporation
ASEAN?India?Korea,Hyundai,Venue (India),2024,Hyundai Kefico Corporation
ASEAN?India?Korea,Hyundai,Venue (Korea),2024,Hyundai Kefico Corporation
ASEAN?India?Korea,Hyundai,Verna (India),2024,Hyundai Kefico Corporation
Americas,Kia,K3 Sedan (Mexico),2024,"Hyundai Kefico M?xico, S. de R.L. de C.V."
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV700 (India),2024,Bosch Ltd.
Japan,Mazda,Mazda3 Fastback Hybrid,2024,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.)
Europe,Mercedes-Benz,CLE 300 4MATIC Coupe (Germany),2024,Bosch (Robert Bosch GmbH)
Japan,Mitsubishi,Eclipse Cross,2024,Denso Corporation
ASEAN?India?Korea,Nissan,Magnite (India),2024,Bosch (Robert Bosch GmbH)
Europe,Skoda,Kodiaq (Czech Republic),2024,Hirschvogel Group (Hirschvogel Holding GmbH)
Japan,Subaru,BRZ,2024,Denso Corporation
Japan,Subaru,Forester SPORT,2024,Denso Corporation
Japan,Subaru,Legacy Outback,2024,Denso Corporation
Japan,Subaru,Levorg,2024,Denso Corporation
Japan,Subaru,Levorg Layback,2024,Denso Corporation
Americas,Toyota,Camry (USA),2024,"Denso International America, Inc."
Japan,Toyota,GR Corolla,2024,Denso Corporation
Japan,Toyota,GR Yaris,2024,Denso Corporation
Japan,Toyota,GR86,2024,Denso Corporation
Japan,Toyota,Prius,2024,Denso Corporation
Europe,DS Automobiles,DS DS 7 E-Tense (France),2023,Bosch (Robert Bosch GmbH)
Americas,Ford,Lincoln Corsair (USA),2023,Robert Bosch LLC - Charleston
Americas,Ford,Escape (USA),2023,Robert Bosch LLC - Charleston
Americas,Ford,Mustang (USA),2023,Robert Bosch LLC - Charleston
ASEAN?India?Korea,Hyundai,Kona (Korea),2023,Hyundai Kefico Corporation
ASEAN?India?Korea,Kia,Carnival (Korea),2023,Hyundai Kefico Corporation
Americas,Kia,K5 (USA),2023,"Hyundai Kefico M?xico, S. de R.L. de C.V."
Japan,Mazda,CX-30,2023,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.)
Japan,Mazda,Mazda3 Fastback Hybrid,2023,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.)
Japan,Mitsubishi,Eclipse Cross,2023,Denso Corporation
Americas,Nissan,Kicks (Mexico),2023,"Denso International America, Inc."
Americas,Subaru,Ascent (USA),2023,Bosch (Robert Bosch LLC)
Japan,Subaru,BRZ,2023,Denso Corporation
Japan,Subaru,Forester SPORT,2023,Denso Corporation
Japan,Subaru,Legacy Outback,2023,Denso Corporation
Japan,Subaru,Levorg,2023,Denso Corporation
Americas,Toyota,Camry (USA),2023,"Denso International America, Inc."
Japan,Toyota,Corolla Hatchback,2023,Denso Corporation
Japan,Toyota,GR Corolla,2023,Denso Corporation
Japan,Toyota,GR Yaris,2023,Denso Corporation
Japan,Toyota,GR86,2023,Denso Corporation
Americas,BMW,X3 (USA),2022,Hirschvogel Komponenten GmbH
China,Changan,UNI-T (FF) (China),2022,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,Changan,UNI-T (FF) (China),2022,"Bosch Automotive Products (Suzhou) Co., Ltd."
China,Changan Ford,Lincoln Corsair (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Changan Ford,Ford EVOS (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Jetour X90 PLUS (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,DFSK,Dongfeng Fengon 580 (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,DFSK,Dongfeng Fengon 580 (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,FAW,Hongqi H5 (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,FAW,Hongqi HS5 (4WD) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,FAW,Hongqi HS5 (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,GAC Motor,Trumpchi GS4 (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,GAC Motor,Trumpchi GS4 (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,GAC Motor,Trumpchi GS4 (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Geely,LYNK & CO 02 Plus (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Geely,LYNK & CO 02 Pro (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Geely,LYNK & CO 03 Plus (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Geely,LYNK & CO 03 Pro (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Boyue X (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Haoyue (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Geely,Haoyue (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Geely,JiaJi (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,Great Wall,POER (4WD) (China),2022,"United Automotive Electronic Systems Co., Ltd."
Americas,Hyundai,Accent (Mexico),2022,Hyundai Kefico Corporation
Americas,Hyundai,Elantra (USA),2022,"Hyundai Kefico M?xico, S. de R.L. de C.V."
Americas,Hyundai,Santa Cruz (USA),2022,"Hyundai Kefico M?xico, S. de R.L. de C.V."
Americas,Hyundai,Sonata (USA),2022,"Hyundai Kefico M?xico, S. de R.L. de C.V."
ASEAN?India?Korea,Kia,Carnival (Korea),2022,Hyundai Kefico Corporation
ASEAN?India?Korea,Kia,K3 (Korea),2022,Hyundai Kefico Corporation
Americas,Kia,Rio (Mexico),2022,"Hyundai Kefico M?xico, S. de R.L. de C.V."
Japan,Mazda,CX-30,2022,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.)
Japan,Mazda,Mazda3 Fastback Hybrid,2022,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.)
Japan,Mitsubishi,Delica D:2 Hybrid,2022,Denso Corporation
Japan,Mitsubishi,Eclipse Cross,2022,Denso Corporation
China,SAIC GM,Chevrolet Malibu XL (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,SAIC GM Wuling,Baojun RS-3 SOODA (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,SAIC GM Wuling,Baojun RS-3 SOODA (FF) (China),2022,"United Automotive Electronic Systems Co., Ltd."
China,SAIC Maxus,Maxus G10 (FR) (China),2022,"United Automotive Electronic Systems Co., Ltd."
Japan,Subaru,BRZ,2022,Denso Corporation
Japan,Subaru,Forester SPORT,2022,Denso Corporation
Japan,Subaru,Legacy Outback,2022,Denso Corporation
Japan,Subaru,Levorg,2022,Denso Corporation
Japan,Suzuki,Solio,2022,Denso Corporation
Japan,Suzuki,Solio Hybrid,2022,Denso Corporation
Japan,Toyota,Alphard,2022,OTICS Corporation
Japan,Toyota,Alphard,2022,OTICS Corporation
Japan,Toyota,Alphard Hybrid,2022,OTICS Corporation
Japan,Toyota,C-HR,2022,OTICS Corporation
ASEAN?India?Korea,Toyota,C-HR (Thailand),2022,"OTICS (Thailand) Co., Ltd."
Americas,Toyota,Camry (USA),2022,"Denso International America, Inc."
Japan,Toyota,Corolla,2022,OTICS Corporation
ASEAN?India?Korea,Toyota,Corolla Altis (Thailand),2022,"OTICS (Thailand) Co., Ltd."
Japan,Toyota,Corolla Sport,2022,OTICS Corporation
Japan,Toyota,Corolla Touring,2022,OTICS Corporation
Japan,Toyota,Crown,2022,OTICS Corporation
Japan,Toyota,Crown Hybrid,2022,OTICS Corporation
Japan,Toyota,GR Corolla,2022,Denso Corporation
Japan,Toyota,GR Corolla,2022,OTICS Corporation
Japan,Toyota,GR Yaris,2022,Denso Corporation
Japan,Toyota,GR Yaris,2022,OTICS Corporation
Japan,Toyota,GR86,2022,Denso Corporation
Japan,Toyota,Lexus GX460,2022,OTICS Corporation
Japan,Toyota,Lexus IS300,2022,OTICS Corporation
Japan,Toyota,Lexus IS300h,2022,OTICS Corporation
Japan,Toyota,Lexus IS350,2022,OTICS Corporation
Japan,Toyota,Land Cruiser,2022,OTICS Corporation
Japan,Toyota,Lexus LC500h,2022,OTICS Corporation
Japan,Toyota,Lexus LM300h,2022,OTICS Corporation
Japan,Toyota,Lexus LM350,2022,OTICS Corporation
Japan,Toyota,Lexus LS500,2022,OTICS Corporation
Japan,Toyota,Lexus LS500h,2022,OTICS Corporation
Japan,Toyota,Lexus LX600,2022,OTICS Corporation
Japan,Toyota,Lexus NX350,2022,OTICS Corporation
Japan,Toyota,Lexus RC300,2022,OTICS Corporation
Japan,Toyota,Lexus RC300h,2022,OTICS Corporation
Japan,Toyota,Lexus RC350,2022,OTICS Corporation
Japan,Toyota,Lexus RX350,2022,OTICS Corporation
Japan,Toyota,Lexus RX450h,2022,Denso Corporation
Japan,Toyota,Lexus RX450hL,2022,Denso Corporation
Japan,Toyota,Lexus RX500h,2022,OTICS Corporation
Americas,Toyota,Tacoma (Mexico),2022,Denso Corporation
Japan,Toyota,Vellfire,2022,OTICS Corporation
Japan,Toyota,Vellfire Hybrid,2022,OTICS Corporation
Americas,Volkswagen,Atlas (USA),2022,Marelli Europe S.p.A - Modugno
Americas,Volkswagen,Atlas Cross Sport (USA),2022,Marelli Europe S.p.A - Modugno
Europe,Audi,A3 Sportback (Germany),2021,Benteler Group (Benteler Automobiltechnik GmbH)
Europe,Audi,A3 Sportback (Germany),2021,Continental AG
Europe,Audi,Q2 (Germany),2021,Robert Bosch odbytova s.r.o.
China,BAIC Motor,Beijing X3 (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Beiqi Foton,Foton Grand General (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Qin Plus DM-i (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Seal U (Song Plus) (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Seal U (Song Plus) DM-i (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Song Classic Edition (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Song Classic Edition (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Song MAX (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Song MAX (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Song MAX DM (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Song Pro (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Song Pro (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Song Pro (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Song Pro DM (4WD) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Song Pro DM-i (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Tang (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,BYD,Tang DM (4WD) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Changan,CS55 PLUS (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Changan,UNI-T (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Changan,UNI-T (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Changan,Oshan X5 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Changan,Oshan X5 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Changan Ford,Ford Escort (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Changan Ford,Ford EVOS (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Arrizo 5 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Arrizo 5 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Arrizo GX (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Exeed Lanyue (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 3 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 3 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 3x (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 3x (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 3x (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 3x (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 3x (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 3x Plus (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 3x Plus (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 5x (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 5x (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 5x (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 5X Hero (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 7 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 7 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 7 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 7 Fly (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 8 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 8 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 8 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 8 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 8 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
China,Chery,Tiggo 8 (FF) (China),2021,"United Automotive Electronic Systems Co., Ltd."
