Region,Maker,Model,Model year,Supplier
Europe,Audi,A1 (Spain),2025,"Robert Bosch, spol. s r.o."
Europe,Audi,A3 (Germany),2025,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Audi,A3 Sportback (Germany),2025,"Robert Bosch, spol. s r.o."
Europe,Audi,Q2 (Germany),2025,"Robert Bosch, spol. s r.o."
Europe,Audi,S3 (Germany),2025,Vitesco Technologies Romania S.R.L. - Ghimbav
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV700 (India),2025,Bosch Ltd.
Europe,SEAT,CUPRA Ateca (Czech Republic),2025,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,SEAT,CUPRA Formentor (Spain),2025,"Robert Bosch, spol. s r.o."
Europe,SEAT,CUPRA Formentor (Spain),2025,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Volkswagen,Golf (Germany),2025,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Volkswagen,T-Roc (Portugal),2025,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Audi,A1 (Spain),2024,"Robert Bosch, spol. s r.o."
Europe,Audi,A3 (Germany),2024,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Audi,A3 Sportback (Germany),2024,"Robert Bosch, spol. s r.o."
Europe,Audi,Q2 (Germany),2024,"Robert Bosch, spol. s r.o."
Europe,Audi,S3 (Germany),2024,Vitesco Technologies Romania S.R.L. - Ghimbav
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV700 (India),2024,Bosch Ltd.
Americas,Mercedes-Benz,GLE 350 (USA),2024,Hyundam America Inc.
Europe,SEAT,CUPRA Ateca (Czech Republic),2024,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,SEAT,CUPRA Formentor (Spain),2024,"Robert Bosch, spol. s r.o."
Europe,SEAT,CUPRA Formentor (Spain),2024,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Volkswagen,Golf (Germany),2024,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Volkswagen,T-Roc (Portugal),2024,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Audi,A1 (Spain),2023,"Robert Bosch, spol. s r.o."
Europe,Audi,A3 (Germany),2023,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Audi,A3 Sportback (Germany),2023,"Robert Bosch, spol. s r.o."
Europe,Audi,Q2 (Germany),2023,"Robert Bosch, spol. s r.o."
Europe,Audi,S3 (Germany),2023,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,SEAT,CUPRA Ateca (Czech Republic),2023,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,SEAT,CUPRA Formentor (Spain),2023,"Robert Bosch, spol. s r.o."
Europe,SEAT,CUPRA Formentor (Spain),2023,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Volkswagen,Golf (Germany),2023,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Volkswagen,T-Roc (Portugal),2023,Vitesco Technologies Romania S.R.L. - Ghimbav
,,,,
Europe,Audi,A1 (Spain),2025,"Robert Bosch, spol. s r.o."
Europe,Audi,A3 (Germany),2025,Vitesco Technologies Romania S.R.L. - Ghimbav
Europe,Audi,A3 Sportback (Germany),2025,"Robert Bosch, spol. s r.o."
Europe,Audi,Q2 (Germany),2025,"Robert Bosch, spol. s r.o."
Europe,Audi,S3 (Germany),2025,Vitesco Technologies Romania S.R.L. - Ghimbav
