Region,Maker,Model,Model year,Supplier
ASEAN?India?Korea,Mitsubishi,Triton (Thailand),2025,P.C.S. Machine Group Holding PCL
Europe,Skoda,Kodiaq (Czech Republic),2025,Schw?bische H?ttenwerke Automotive GmbH (SHW Automotive GmbH)
Europe,Volkswagen,T7 California (Germany),2025,Valeo Group
China,BYD,Yangwang U8 (4WD) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Chery,Arrizo 5 (FF) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Chery,Arrizo 5 PLUS (FF) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Chery,Arrizo 8 (FF) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Chery,Tiggo 7 (FF) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Chery,Tiggo 8 (FF) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Chery,Tiggo 8 Plus (FF) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Chery,Tiggo 8 Pro (4WD) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Chery,Tiggo 8 Pro (FF) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Chery,Tiggo 9 (4WD) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
China,Chery,Tiggo 9 (FF) (China),2024,"Hunan Meihu Intelligent Manufacturing Co., Ltd. (Formerly Hunan Oil Pump Co., Ltd.)"
ASEAN?India?Korea,Citroen,C3 Aircross (India),2024,Pricol Ltd.
ASEAN?India?Korea,Hyundai,Genesis G80 (Korea),2024,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Genesis GV70 (Korea),2024,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Genesis GV80 (Korea),2024,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Mighty (Korea),2024,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Palisade (Korea),2024,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Hyundai,Porter (Korea),2024,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Sonata (Korea),2024,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Sonata (Korea),2024,"Myunghwa Ind. Co., Ltd."
ASEAN?India?Korea,Hyundai,Sorento (Korea),2024,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Staria (Korea),2024,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Hyundai,Tucson (Korea),2024,"Lee Won Precision Co.,Ltd."
ASEAN?India?Korea,Kia,Seltos (Korea),2024,"Myunghwa Ind. Co., Ltd."
