Region,Maker,Model,Model year,Supplier
Europe,MAN,hTGX (Germany),2025,MAHLE GmbH
Europe,Skoda,Kodiaq (Czech Republic),2025,Tenneco Inc.
Japan,Mazda,Mazda3 Fastback Hybrid,2024,Kolbenschmidt Pistons - Japan (Formerly Kolbenschmidt K.K.)
Japan,Mazda,Mazda3 Fastback Hybrid,2024,Kolbenschmidt Pistons - Japan (Formerly Kolbenschmidt K.K.)
Japan,Mazda,Mazda3 Sedan,2024,Kolbenschmidt Pistons - Japan (Formerly Kolbenschmidt K.K.)
Japan,Mazda,MX-30 Mild Hybrid,2024,Kolbenschmidt Pistons - Japan (Formerly Kolbenschmidt K.K.)
Europe,Skoda,Kodiaq (Czech Republic),2024,Tenneco Inc.
Japan,Subaru,Forester SPORT,2024,"Art Metal Mfg. Co., LTD."
Japan,Subaru,Legacy Outback,2024,"Art Metal Mfg. Co., LTD."
Japan,Subaru,Levorg,2024,"Art Metal Mfg. Co., LTD."
Japan,Subaru,Levorg Layback,2024,"Art Metal Mfg. Co., LTD."
ASEAN?India?Korea,Honda,City (Thailand),2023,"C.S. Piston (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,City (Thailand),2023,"MAHLE Engine Components (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,Civic (Thailand),2023,"C.S. Piston (Thailand) Co., Ltd."
ASEAN?India?Korea,Honda,CR-V (Thailand),2023,"C.S. Piston (Thailand) Co., Ltd."
ASEAN?India?Korea,Isuzu,D-Max (Thailand),2023,"MAHLE Engine Components (Thailand) Co., Ltd."
ASEAN?India?Korea,Isuzu,mu-X (Thailand),2023,"MAHLE Engine Components (Thailand) Co., Ltd."
ASEAN?India?Korea,Mazda,BT-50 (Thailand),2023,"MAHLE Engine Components (Thailand) Co., Ltd."
Japan,Mazda,CX-30,2023,Kolbenschmidt Pistons - Japan (Formerly Kolbenschmidt K.K.)
