Region,Maker,Model,Model year,Supplier
Americas,Hino,L6e (USA),2023,Exro Technologies - Dandenong South (Formerly SEA Electric Pty Ltd.)
Americas,Hino,M5e (USA),2023,Exro Technologies - Dandenong South (Formerly SEA Electric Pty Ltd.)
Americas,Mack Trucks,Mack MD6 (USA),2023,Exro Technologies - Dandenong South (Formerly SEA Electric Pty Ltd.)
Americas,Mack Trucks,Mack MD7 (USA),2023,Exro Technologies - Dandenong South (Formerly SEA Electric Pty Ltd.)
Japan,Nissan,Elgrand,2023,JTEKT Corporation
ASEAN?India?Korea,Hyundai,Palisade (Korea),2022,"Hyundai Mobis Co., Ltd."
Americas,Hyundai,Tucson (USA),2022,HL Mando America Corporation - Georgia (Formerly Mando (Georgia) 1 America Corporation)
Japan,Mitsubishi,Outlander Sport,2022,JTEKT Corporation
Japan,Nissan,Elgrand,2022,JTEKT Corporation
ASEAN?India?Korea,Hyundai,Palisade (Korea),2021,"Hyundai Mobis Co., Ltd."
Europe,Jaguar Land Rover,Land Rover Range Rover (UK),2021,Hanon Systems Plovdiv EOOD (Fromerly Magna Powertrain Plovdiv Eood)
Japan,Mitsubishi,Outlander Sport,2021,JTEKT Corporation
Japan,Nissan,Cima Hybrid,2021,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
Japan,Nissan,Fuga,2021,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
Japan,Nissan,Fuga Hybrid,2021,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
Japan,Nissan,GT-R,2021,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
Americas,Nissan,Maxima (USA),2021,"JTEKT Automotive North America, Inc. - Morristown Plant (Formerly JTEKT Automotive Tennessee - Morristown, Inc.)"
Americas,Nissan,Versa (Mexico),2021,JTEKT Corporation
Europe,Ferrari,GTC4Lusso (Italy),2020,Robert Bosch Automotive Steering GmbH
ASEAN?India?Korea,Ford,Ranger (Thailand),2020,"KYB Steering (Thailand) Co., Ltd."
ASEAN?India?Korea,Hyundai,Creta (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Hyundai,Elantra (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Hyundai,Palisade (Korea),2020,"Hyundai Mobis Co., Ltd."
ASEAN?India?Korea,Hyundai,Venue (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Isuzu,D-Max (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Isuzu,D-Max (Thailand),2020,"KYB Steering (Thailand) Co., Ltd."
ASEAN?India?Korea,Isuzu,mu-X (India),2020,"Youngshin Automotive India PVT., Ltd."
Europe,Jaguar Land Rover,Land Rover Range Rover (UK),2020,Hanon Systems Plovdiv EOOD (Fromerly Magna Powertrain Plovdiv Eood)
ASEAN?India?Korea,Kia,Carnival (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Kia,Seltos (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Kia,Sonet (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Alturas G4 (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Bolero (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra KUV100 NXT (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Marazzo (India),2020,"Youngshin Automotive India PVT., Ltd."
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Scorpio (India),2020,"Youngshin Automotive India PVT., Ltd."
