Region,Maker,Model,Model year,Supplier
China,GAC Motor,Trumpchi Emkoo (FF) (China),2025,"Jiangyin Haida Rubber & Plastic Co., Ltd."
China,GAC Motor,Trumpchi Emkoo (FF) (China),2025,"Sichuan Ningjiang Shanchuan Machinery Co., Ltd."
China,GAC Motor,Trumpchi GS4 (FF) (China),2025,"Jiangyin Haida Rubber & Plastic Co., Ltd."
China,GAC Motor,Trumpchi GS4 (FF) (China),2025,"Sichuan Ningjiang Shanchuan Machinery Co., Ltd."
Japan,Honda,Step WGN,2025,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
Japan,Honda,Step WGN e:HEV,2025,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra BE 6 (India),2025,Tenneco Automotive India Pvt. Ltd.
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra BE 6 (India),2025,Tenneco Automotive India Pvt. Ltd.
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XEV 9e (India),2025,Tenneco Automotive India Pvt. Ltd.
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XEV 9e (India),2025,Tenneco Automotive India Pvt. Ltd.
Europe,Mercedes-Benz,E-Class (Germany),2025,Continental AG
Japan,Nissan,Note Aura,2025,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
Japan,Nissan,Note e-POWER,2025,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
Americas,Rivian,R1S (USA),2025,Tenneco Automotive Eastern Europe Sp. z o.o.
Americas,Rivian,R1S (USA),2025,Tenneco Automotive Eastern Europe Sp. z o.o.
Americas,Rivian,R1T (USA),2025,Tenneco Automotive Eastern Europe Sp. z o.o.
Americas,Rivian,R1T (USA),2025,Tenneco Automotive Eastern Europe Sp. z o.o.
China,SAIC Maxus,Maxus V80 (China),2025,"Jiangyin Haida Rubber & Plastic Co., Ltd."
China,SAIC Maxus,Maxus V80 (China),2025,"Sichuan Ningjiang Shanchuan Machinery Co., Ltd."
Americas,Ford,Bronco (USA),2024,thyssenkrupp Bilstein of America Inc.
China,GAC Aion,Aion V (China),2024,"Jiangyin Haida Rubber & Plastic Co., Ltd."
China,GAC Aion,Aion V (China),2024,"Sichuan Ningjiang Shanchuan Machinery Co., Ltd."
China,GAC Motor,Trumpchi Emkoo (FF) (China),2024,"Jiangyin Haida Rubber & Plastic Co., Ltd."
China,GAC Motor,Trumpchi Emkoo (FF) (China),2024,"Sichuan Ningjiang Shanchuan Machinery Co., Ltd."
China,GAC Motor,Trumpchi GS4 (FF) (China),2024,"Jiangyin Haida Rubber & Plastic Co., Ltd."
China,GAC Motor,Trumpchi GS4 (FF) (China),2024,"Sichuan Ningjiang Shanchuan Machinery Co., Ltd."
Japan,Nissan,Note Aura,2024,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
Japan,Nissan,Note e-POWER,2024,"Hitachi Astemo, Ltd. (Formerly Hitachi Automotive Systems, Ltd.)"
