Region,Maker,Model,Model year,Supplier
Europe,Alfa Romeo,Tonale (Italy),2024,Mubea Motorkomponenten GmbH
Europe,BMW,i4 (Germany),2024,Mubea Motorkomponenten GmbH
China,BMW Brilliance,BMW iX3 (RR) (China),2024,"Daewon Kangup Co., Ltd."
China,BMW Brilliance,BMW iX3 (RR) (China),2024,"Daewon Kangup Co., Ltd."
China,FAW Toyota,Toyota bZ3 (China),2024,"Tianjin Zhongxing Automotive Components Co., Ltd."
ASEAN?India?Korea,Honda,Accord e:HEV (Thailand),2024,"NHK Spring (Thailand) Co., Ltd. - Wellgrow Plant"
ASEAN?India?Korea,Hyundai,IONIQ 5 (Korea),2024,"Hyundai Mobis Co., Ltd."
ASEAN?India?Korea,Isuzu,D-Max (Thailand),2024,"NHK Spring (Thailand) Co., Ltd. - Wellgrow Plant"
ASEAN?India?Korea,Mazda,BT-50 (Thailand),2024,"NHK Spring (Thailand) Co., Ltd. - Wellgrow Plant"
Europe,Renault,Austral E-TECH Hybrid (Spain),2024,Mubea Stabilizer Bar Systems s.r.o.
Europe,Renault,Megane E-TECH Electric (France),2024,Sogefi S.p.A.
Europe,Toyota,C-HR (Turkiye),2024,Mubea Otomotiv Parcalari Sanayi ve Ticaret Ltd. Sti.
Japan,Toyota,Land Cruiser 250,2024,"Chuo Spring Co., Ltd."
Americas,Toyota,Tacoma (Mexico),2024,"Chuo Spring Co., Ltd."
Europe,Alfa Romeo,Tonale (Italy),2023,Mubea Motorkomponenten GmbH
Europe,BMW,MINI Cooper S (UK),2023,Mubea Stabilizer Bar Systems s.r.o.
Europe,BMW,i4 (Germany),2023,Mubea Motorkomponenten GmbH
Americas,BMW,XM (USA),2023,Gestamp Automocion S.A.
China,BMW Brilliance,BMW iX3 (RR) (China),2023,"Daewon Kangup Co., Ltd."
China,BMW Brilliance,BMW iX3 (RR) (China),2023,"Daewon Kangup Co., Ltd."
China,BYD,Seal DM-i (FF) (China),2023,"Zhejiang Meili High Technology Co., Ltd."
China,FAW Toyota,Toyota bZ3 (China),2023,"Tianjin Zhongxing Automotive Components Co., Ltd."
China,FAW Toyota,Toyota Corolla (FF) (China),2023,"Tianjin Zhongxing Automotive Components Co., Ltd."
China,FAW Toyota,Toyota Corolla Cross (FF) (China),2023,"Tianjin Zhongxing Automotive Components Co., Ltd."
China,FAW Toyota,Toyota Corolla Hybrid (FF) (China),2023,"Tianjin Zhongxing Automotive Components Co., Ltd."
China,FAW Toyota,Toyota RAV4 (4WD) (China),2023,"Tianjin Zhongxing Automotive Components Co., Ltd."
China,FAW Toyota,Toyota RAV4 (FF) (China),2023,"Tianjin Zhongxing Automotive Components Co., Ltd."
China,FAW Toyota,Toyota RAV4 Hybrid (4WD) (China),2023,"Tianjin Zhongxing Automotive Components Co., Ltd."
China,FAW Toyota,Toyota RAV4 Hybrid (FF) (China),2023,"Tianjin Zhongxing Automotive Components Co., Ltd."
China,FAW Toyota,Toyota RAV4 Hybrid E+ (4WD) (China),2023,"Tianjin Zhongxing Automotive Components Co., Ltd."
China,FAW Toyota,Toyota RAV4 Hybrid E+ (FF) (China),2023,"Tianjin Zhongxing Automotive Components Co., Ltd."
ASEAN?India?Korea,Hyundai,IONIQ 5 (Korea),2023,"Hyundai Mobis Co., Ltd."
China,Li Auto,Li L9 (4WD) (China),2023,"Zhejiang Meili High Technology Co., Ltd."
Europe,Mercedes-Benz,EQE (Germany),2023,Mubea Motorkomponenten GmbH
Europe,Mercedes-Benz,EQE (Germany),2023,Mubea Motorkomponenten GmbH
Europe,Mercedes-Benz,Mercedes-AMG GT (Germany),2023,Mubea Motorkomponenten GmbH
Europe,Opel,Mokka (France),2023,Muhr und Bender KG (Mubea Group)
Europe,Renault,Austral E-TECH Hybrid (Spain),2023,Mubea Stabilizer Bar Systems s.r.o.
Europe,Renault,Megane E-TECH Electric (France),2023,Sogefi S.p.A.
ASEAN?India?Korea,Tata,Xenon (India),2023,Samvardhana Motherson Group
Europe,Toyota,C-HR (Turkiye),2023,Mubea Otomotiv Parcalari Sanayi ve Ticaret Ltd. Sti.
Europe,BMW,i4 (Germany),2022,Mubea Motorkomponenten GmbH
Americas,BMW,X3 (USA),2022,WABCO Group International Inc.
China,BMW Brilliance,BMW iX3 (RR) (China),2022,"Daewon Kangup Co., Ltd."
China,BMW Brilliance,BMW iX3 (RR) (China),2022,"Daewon Kangup Co., Ltd."
China,Chery,Jetour X70 (FF) (China),2022,"Nanyang Linjite Metal Products Co., Ltd."
China,Chery,Jetour X70 (FF) (China),2022,"Nanyang Linjite Metal Products Co., Ltd."
China,Chery,Jetour X70 Coupe (FF) (China),2022,"Nanyang Linjite Metal Products Co., Ltd."
China,Chery,Jetour X70 PLUS (FF) (China),2022,"Nanyang Linjite Metal Products Co., Ltd."
China,Chery,Jetour X70 PLUS (FF) (China),2022,"Nanyang Linjite Metal Products Co., Ltd."
China,Chery,Jetour X70 PLUS (FF) (China),2022,"Nanyang Linjite Metal Products Co., Ltd."
China,Chery,Jetour X70M (FF) (China),2022,"Nanyang Linjite Metal Products Co., Ltd."
China,Chery,Jetour X70S (FF) (China),2022,"Nanyang Linjite Metal Products Co., Ltd."
