Region,Maker,Model,Model year,Supplier
Japan,Honda,Step WGN,2025,Denso Corporation
Japan,Mazda,Flair Wagon,2025,Denso Corporation
Japan,Mazda,Flair Wagon Custom Style,2025,Denso Corporation
China,SAIC Passenger Vehicle,MG MG5 (FF) (China),2025,"Shanghai Valeo Automotive Electrical Systems Co., Ltd."
Japan,Suzuki,Spacia,2025,Denso Corporation
Japan,Suzuki,Spacia Custom,2025,Denso Corporation
Europe,Alfa Romeo,Tonale (Italy),2024,Starters E-Components Generators Automotive Hungary Kft. (Formerly Robert Bosch Energy and Body Systems Kft.)
Americas,BMW,3 Series (Mexico),2024,Valeo Sistemas Electricos S.A. de C.V (Valeo Mexico San Luis Potosi 3)
Europe,BMW,M4 (Germany),2024,Denso Manufacturing Italia S.p.A.
Americas,BMW,X3 (USA),2024,Valeo Group
Japan,Daihatsu,Atrai,2024,Denso Corporation
Japan,Daihatsu,Hijet Cargo,2024,Denso Corporation
Japan,Daihatsu,Mira e:S,2024,Denso Corporation
Japan,Daihatsu,Move Canbus,2024,Denso Corporation
Japan,Daihatsu,Move Canbus,2024,Denso Corporation
Japan,Daihatsu,Rocky,2024,Denso Corporation
Japan,Daihatsu,Taft,2024,Denso Corporation
Japan,Daihatsu,Tanto,2024,Denso Corporation
Japan,Daihatsu,Tanto Custom,2024,Denso Corporation
Japan,Daihatsu,Tanto Fun Cross,2024,Denso Corporation
Japan,Daihatsu,Thor,2024,Denso Corporation
Japan,Daihatsu,Thor Custom,2024,Denso Corporation
Europe,Dodge,Hornet (Italy),2024,Starters E-Components Generators Automotive Hungary Kft. (Formerly Robert Bosch Energy and Body Systems Kft.)
Americas,GM,Cadillac CT5 (USA),2024,"Denso Manufacturing Tennessee, Inc."
ASEAN?India?Korea,GM,Buick Envista (Korea),2024,Starters E-Components Generators Automotive Hungary Kft. (Formerly Robert Bosch Energy and Body Systems Kft.)
ASEAN?India?Korea,GM,Chevrolet Trax (Korea),2024,Starters E-Components Generators Automotive Hungary Kft. - Szirmabeseny?
Americas,GM,Cadillac XT5 (USA),2024,"Denso Manufacturing Tennessee, Inc."
Americas,GM,Cadillac XT6 (USA),2024,"Denso Manufacturing Tennessee, Inc."
Japan,Honda,Civic,2024,Denso Corporation
Americas,Honda,Civic Sedan (Canada),2024,American Mitsuba Michigan - AMM
Americas,Honda,Civic Si (Canada),2024,Mitsuba Corporation
Americas,Honda,CR-V (Canada),2024,Mitsuba Corporation
Americas,Honda,CR-V (USA),2024,Mitsuba Corporation
