Region,Maker,Model,Model year,Supplier
Americas,Audi,Q5 (Mexico),2025,Rongtai Industrial Development Le?n S. de R.L. de C.V.
Americas,Honda,Civic Hatchback (USA),2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Americas,Honda,Civic Hatchback Hybrid (USA),2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Americas,Honda,Civic Sedan (Canada),2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Americas,Honda,Civic Sedan Hybrid (Canada),2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Japan,Honda,Civic Type R,2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Americas,Honda,CR-V (USA),2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Americas,Honda,CR-V e:FCEV (USA),2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Americas,Honda,CR-V Hybrid (USA),2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Americas,Honda,HR-V (Mexico),2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Americas,Honda,Acura Integra (USA),2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Americas,Honda,Acura Integra Type S (USA),2025,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
Japan,Mitsubishi,Delica Mini,2025,"Akashi-Kikai Industry Co., Ltd."
Americas,Audi,Q5 (Mexico),2024,Rongtai Industrial Development Le?n S. de R.L. de C.V.
Europe,BMW,i4 (Germany),2024,thyssenkrupp AG (Formerly ThyssenKrupp AG)
Europe,BMW,i4 eDrive40 (Germany),2024,JTEKT Corporation
China,BMW Brilliance,BMW iX3 (RR) (China),2024,JTEKT Corporation
Japan,Daihatsu,Mira e:S,2024,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Thor,2024,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Thor Custom,2024,"Akashi-Kikai Industry Co., Ltd."
Americas,Dodge,Charger (Canada),2024,Rongtai Industrial Development Le?n S. de R.L. de C.V.
Americas,GM,GMC Sierra HD (USA),2024,Nexteer Automotive Group Ltd.
Americas,GM,Chevrolet Silverado HD (USA),2024,Nexteer Automotive Group Ltd.
Americas,Honda,Accord (USA),2024,Bosch (Robert Bosch LLC)
Americas,Honda,Civic Hatchback (USA),2024,"Hitachi Astemo Americas, Inc. (Formerly  Hitachi Automotive Systems Americas, Inc.)"
Americas,Honda,Civic Hatchback Hybrid (USA),2024,"Hitachi Astemo Americas, Inc. - Blanchester Plant (Formerly American Showa, Inc. - Blanchester Plant)"
