Region,Maker,Model,Model year,Supplier
China,Changan Ford,Lincoln Corsair (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Lincoln Corsair (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Edge L Gasoline (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Edge L Gasoline (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Escape (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Escape (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford EVOS (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Ford Mondeo (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Lincoln Nautilus (4WD) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Changan Ford,Lincoln Z (FF) (China),2023,"Ningbo Shenglong Automotive Powertrain System Co., Ltd."
China,Dongfeng Honda,Honda Civic (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Civic e:HEV (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Civic Hatchback e:HEV (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Civic Hatchback Sport Turbo (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V Black Edition (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V Black Edition (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V e:PHEV (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V Sport Hybrid (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda CR-V Sport Hybrid (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Elysion e:HEV (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Inspire Sport Hybrid (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda Inspire Sport Turbo (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda UR-V (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda UR-V (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda UR-V (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,Dongfeng Honda,Honda XR-V (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Accord (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Accord Hybrid (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Avancier (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Avancier (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Avancier (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Breeze (4WD) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Breeze (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Breeze Hybrid e+ (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Breeze Sport Hybrid (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Crider (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Crider Sport Hybrid (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Fit (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Odyssey Sport Hybrid (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
China,GAC Honda,Honda Vezel (FF) (China),2023,"Foshan Fengfu Auto Parts Co., Ltd."
ASEAN?India?Korea,Honda,City (Thailand),2023,"EXEDY (Thailand) Co., Ltd."
Japan,Honda,Civic,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,Fit,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,Freed,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,Freed +,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,N-BOX,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,N-BOX Custom,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,N-ONE,2023,Ahresty Corporation
Japan,Honda,N-ONE,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,N-VAN,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,N-WGN,2023,Ahresty Corporation
Japan,Honda,N-WGN,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,N-WGN Custom,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,Step WGN,2023,"Yutaka Giken Co., Ltd."
Japan,Honda,Vezel,2023,"Yutaka Giken Co., Ltd."
Japan,Mazda,CX-3,2023,EXEDY Corporation
Americas,Mazda,CX-3 (Mexico),2023,EXEDY DYNAX Mexico S.A de C.V.
ASEAN?India?Korea,Mazda,CX-3 (Thailand),2023,"EXEDY (Thailand) Co., Ltd."
Japan,Mazda,CX-30,2023,EXEDY Corporation
ASEAN?India?Korea,Mazda,CX-30 (Thailand),2023,"EXEDY (Thailand) Co., Ltd."
Japan,Mazda,Mazda2,2023,EXEDY Corporation
