Region,Maker,Model,Model year,Supplier
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV700 (India),2025,Bosch Ltd.
China,BMW Brilliance,BMW iX3 (RR) (China),2024,Bosch (Robert Bosch GmbH)
China,BYD,King DM-i (Chaser 05) (China),2024,"Visu Autotech (Ningbo) Co., Ltd."
ASEAN?India?Korea,Citroen,C3 Aircross (India),2024,Pricol Ltd.
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra XUV700 (India),2024,Bosch Ltd.
Europe,Peugeot,3008 (France),2024,Aisin Europe S.A.
Europe,Renault,Austral E-TECH Hybrid (Spain),2024,Bosch (Robert Bosch GmbH)
Europe,Renault,Austral E-TECH Hybrid (Spain),2024,GMB Romania Auto Industry S.R.L.
Europe,Renault,Espace E-TECH Hybrid (Spain),2024,GMB Romania Auto Industry S.R.L.
Japan,Subaru,Forester SPORT,2024,"Yamada Manufacturing Co., Ltd."
Japan,Subaru,Legacy Outback,2024,"Yamada Manufacturing Co., Ltd."
Japan,Subaru,Levorg,2024,"Yamada Manufacturing Co., Ltd."
Japan,Subaru,Levorg Layback,2024,"Yamada Manufacturing Co., Ltd."
Japan,Suzuki,ACROSS PHV,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
ASEAN?India?Korea,Tata,Nexon (India),2024,PV Clean Mobility Technologies
ASEAN?India?Korea,Tata,Tiago.ev (India),2024,PV Clean Mobility Technologies
Japan,Toyota,Alphard Hybrid,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Crown Crossover,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Crown Sedan,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Crown Sport,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Crown Sport PHEV,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Lexus ES300h,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Harrier Hybrid,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Harrier PHEV,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Lexus NX350h,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Lexus NX450h+,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,RAV4 Hybrid,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,RAV4 PHEV,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Lexus RX350h,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Lexus RX450h+,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
Japan,Toyota,Lexus RZ450e,2024,Denso Corporation
Japan,Toyota,Vellfire Hybrid,2024,"Aisin Corporation (Formerly Aisin Seiki Co., Ltd.)"
China,BMW Brilliance,BMW iX3 (RR) (China),2023,Bosch (Robert Bosch GmbH)
ASEAN?India?Korea,Citroen,C3 Aircross (India),2023,Pricol Ltd.
ASEAN?India?Korea,Citroen,C5 Aircross (India),2023,Pricol Ltd.
Japan,Daihatsu,Atrai,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Cast Style,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Copen Cero,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Copen GR Sport,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Copen Robe,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Copen XPlay,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Mira e:S,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Mira Tocot,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Move,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Move Canbus,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Move Custom,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Taft,2023,"Akashi-Kikai Industry Co., Ltd."
Japan,Daihatsu,Tanto,2023,"Akashi-Kikai Industry Co., Ltd."
