supplier_id,supplier_name,parent_company
1,"AAPICO Amata Co., Ltd.",AAPICO
2,"AAPICO Hitech Public Co., Ltd.",AAPICO
3,AB SKF,SKF
4,ACPS Automotive GmbH (Formerly BOSAL Automotive Carrier and Protection Systems GmbH),ACPS
5,ACPS Automotive Kft.,ACPS
6,ACPS Automotive de Mexico SA de CV.,ACPS
7,ADAC Automotive Inc.,ADAC
8,"ADVICS Co., Ltd.",ADVICS
9,"ADVICS Fuzhou Automobile Parts Co., Ltd.",ADVICS
10,"ADVICS Guangzhou Automobile Parts Co., Ltd.",ADVICS
11,"ADVICS Manufacturing (Thailand) Co., Ltd.",ADVICS
12,"ADVICS Manufacturing Mexico, S. de R.L. de C.V.",ADVICS
13,"ADVICS North America, Inc.",ADVICS
14,"ADVICS Tianjin Automobile Parts Co., Ltd.",ADVICS
15,AGS Automotive Systems,AGS
16,"AISIN Autoparts (Thailand) Co., Ltd. (Formerly Aisin AI (Thailand) Co., Ltd.)",Aisin
17,"AISIN North Carolina Corporation (Formerly AW North Carolina, Inc.)",Aisin
18,ALF Engineering Pvt. Ltd.,
19,ALLGAIER Automotive GmbH,
20,ARaymond France SAS,
21,"ASD Automotive Components (Tianjin) Co., Ltd. (Formerly ASIMCO Automotive Components (Tianjin) Co., Ltd. )",
22,ASIMCO (Nanjing) Limited (Formerly ASIMCO (Beijing) Limited),
23,"ASTEER Co., Ltd.",
24,"AT Tohoku Co., Ltd.",
25,"ATA Casting Technology Co., Ltd.",ATA Casting Technology
26,"ATA Casting Technology Japan Co., Ltd.",ATA Casting Technology
27,Ahresty Corporation,Ahresty
28,"AiJin Automobile Exhaust Systems (Tianjin) Co., Ltd.",
29,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)",Aichi
30,"Aichi Machine Industry Co., Ltd.",Aichi
31,Aichi Steel Corporation,Aichi
32,Aikitec Autoparts Foshan,
33,"Aisan (Foshan) Auto Parts Co., Ltd.",Aisan
34,"Aisan (Tianjin) Auto Parts Co., Ltd.",Aisan
35,"Aisan Autopartes Mexico, S.A. de C.V.",Aisan
36,"Aisan Industry Co., Ltd.",Aisan
37,Aisan Industry Czech s.r.o.,Aisan
38,Aisan Industry India Private Limited (Formerly Aisan Fiem Automotives India Pvt. Ltd.),Aisan
39,"Aisin (China) Investment Co., Ltd.",Aisin
